x, y, z, size 
133.005707, 134.886932, 266.964905, 1.626071, 955.340637 
-0.635436, -127.001389, 393.822083, 1.031570, 377.165070 
-25.380024, -5.420228, 282.211121, 1.846242, 322.367920 
-67.996254, -96.480423, 194.614288, 1.229608, 1000.632080 
-26.283371, -6.742918, 380.552216, 1.765593, 262.807983 
-63.133621, -62.462326, 364.940582, 1.891064, 820.799988 
5.197018, 142.073212, 277.848480, 1.285689, 486.539520 
144.280350, 132.645828, 372.020233, 1.307278, 50001.015625 
-7.301169, -7.744340, 164.171295, 1.333287, 830.840576 
-102.209343, 88.368774, 247.171936, 1.701973, 785.541504 
57.048264, 65.606842, 217.445648, 1.890894, 440.760712 
28.659517, 12.541638, 394.029297, 1.062541, 631.264587 
-102.370430, 107.344482, 416.399200, 1.524568, 1836.318604 
92.027939, -146.748764, 383.075806, 1.631112, 517.002686 
54.588676, -138.595459, 328.895691, 1.665319, 791.837219 
112.560730, 135.268524, 330.455963, 0.962120, 1493.513062 
102.832108, 90.734413, 421.106995, 1.604078, 50001.039062 
-95.433197, -86.717102, 212.312317, 1.791903, 50001.042969 
143.794769, -142.315155, 355.980591, 1.165935, 472.075226 
-118.242950, 73.866501, 372.459839, 1.364625, 1357.548584 
-56.030357, 105.442116, 310.915222, 1.485783, 50001.050781 
-102.608696, -104.014191, 374.196869, 1.592959, 952.416016 
-122.956161, 104.490623, 290.040771, 1.366771, 1270.062988 
30.429586, 116.215370, 369.009186, 1.946858, 331.114594 
131.207550, -10.317179, 325.506531, 1.311619, 650.825256 
2.847123, -56.900768, 285.584961, 1.235249, 435.309143 
35.852757, -63.927681, 283.366241, 1.314583, 570.487610 
-24.609762, 130.383896, 205.095215, 0.989668, 717.111938 
-28.687817, 40.844837, 118.948303, 1.121683, 589.297241 
-68.906609, -62.590973, 302.579132, 1.533334, 50001.070312 
-72.800758, -153.922623, 346.498291, 1.467836, 654.142456 
43.926922, 17.363041, 282.910645, 1.904331, 628.075745 
-9.319874, 0.615066, 261.638489, 1.063757, 1035.920166 
16.237383, 34.273670, 146.958145, 1.253214, 763.827881 
-96.519653, 109.504356, 330.510742, 1.273109, 50001.082031 
29.501554, 16.450987, 203.962402, 1.734879, 961.087524 
-52.690365, -92.524712, 245.474136, 1.392099, 506.791473 
4.759088, -22.093422, 402.275848, 1.266382, 540.585327 
102.229271, 52.600437, 419.638977, 1.350348, 50001.093750 
-32.138077, 9.070417, 377.876343, 1.394722, 595.901428 
74.219254, -126.639664, 314.774780, 1.687846, 430.099945 
90.126167, 11.076277, 298.350159, 1.555111, 797.729309 
-23.635624, -25.134453, 122.699219, 1.190328, 317.548035 
82.656837, 137.004395, 274.051910, 1.744553, 1441.438965 
12.912672, -72.798576, 433.205505, 1.984380, 1142.996826 
97.042236, 3.220864, 384.024841, 1.324822, 818.474792 
-51.923508, -2.963151, 408.249176, 1.874960, 643.753662 
