Rotor: R2-9x120d(74), Hopper: H0, RPM: 5.630631, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 10-22-13
x, y, z, size, die_time 
-31.790508, 43.601662, 305.493774, 2.439106, 262.168030 
-59.115242, 3.620230, 261.348328, 1.547355, 473.771881 
-42.097164, -42.831959, 189.703079, 2.769362, 380.869354 
-62.679661, -47.089821, 264.329437, 1.844411, 632.186707 
76.341805, 56.142624, 422.209595, 2.648389, 609.180237 
-45.551147, -26.996374, 249.088242, 2.836595, 222.158005 
-53.331684, 65.153488, 235.401382, 1.928533, 181.762085 
2.472640, 31.973515, 281.348022, 1.960916, 307.655182 
24.061646, 0.610528, 287.039398, 1.999930, 737.215942 
31.162725, 13.472475, -97.447037, 2.552959, 365.717712 
36.596928, 8.353099, -97.163666, 2.836340, 528.106567 
25.161289, 6.783899, -98.406189, 1.593811, 544.797241 
44.733131, -3.600476, -97.713150, 2.286851, 497.288513 
41.816269, 2.527052, -97.553322, 2.446667, 220.077515 
36.634624, -0.539571, -97.502029, 2.497977, 339.041748 
35.305782, -7.204022, -98.556824, 1.443180, 225.483566 
42.374428, 5.866412, -97.593887, 2.406116, 486.503662 
44.008728, 6.739944, -97.312149, 2.687854, 368.628357 
44.504284, -22.035950, -98.251099, 1.748902, 459.823273 
35.582680, -0.061980, -97.953064, 2.046937, 494.902222 
26.974924, 10.106504, -97.771332, 2.228674, 441.058319 
24.611263, -0.075019, -97.610565, 2.389438, 402.435547 
33.621334, 7.277159, -97.949844, 2.050156, 330.938812 
13.497540, 3.472594, -97.079712, 2.920286, 1065.887817 
28.015913, -7.600767, -98.032578, 1.967428, 196.688293 
32.542931, -1.053210, -98.147133, 1.852873, 448.975128 
43.886955, 4.565072, -98.028122, 1.971874, 462.856934 
49.005627, -6.126016, -98.515503, 1.484501, 174.675888 
39.028542, -4.715554, -98.317482, 1.682524, 211.230087 
41.337345, 12.382494, -97.699997, 2.300000, 639.337646 
8.040138, -4.542478, -97.798248, 2.201753, 697.647949 
23.263170, -2.147695, -97.143501, 2.856496, 300.937408 
42.905308, -2.602841, -98.404366, 1.595636, 472.535583 
32.886253, -6.946299, -98.120178, 1.879820, 324.853577 
37.149529, 6.304852, -98.090340, 1.909662, 612.104248 
50.373306, -5.286214, -97.397675, 2.602317, 184.022919 
37.426350, 7.479259, -97.911858, 2.088148, 387.938477 
36.567467, -2.847484, -98.100433, 1.899572, 351.182465 
36.255447, -15.265876, -97.974480, 2.025521, 333.248535 
28.553534, -18.968340, -97.907921, 2.092083, 315.362000 
11.010391, -4.075730, -97.468231, 2.531768, 692.755188 
5.619877, -8.172984, -97.667328, 2.332666, 703.264099 
33.434505, -13.371358, -98.214508, 1.785491, 305.672546 
43.132545, -3.602296, -97.383179, 2.616828, 217.102509 
39.761574, 19.492348, -97.023438, 2.976569, 536.247559 
25.228939, 4.118798, -98.012772, 1.987233, 655.126160 
16.270086, -0.076292, -97.187553, 2.812440, 568.379700 
35.753582, -19.642019, -98.452522, 1.547481, 423.217316 
37.835461, -6.752009, -98.387291, 1.612705, 209.214813 
48.278591, 1.809115, -97.853737, 2.146265, 466.895813 
41.014690, -7.426404, -97.651230, 2.348778, 504.018219 
40.321655, 2.389269, -98.353043, 1.646959, 565.312500 
42.123772, 5.473319, -97.371742, 2.628261, 351.672668 
39.832817, -10.906038, -98.355835, 1.644160, 185.371948 
27.172855, -9.824892, -97.408150, 2.591856, 343.023743 
14.620641, 0.117859, -97.005493, 2.994497, 453.897736 
31.415960, 2.741512, -97.227631, 2.772376, 413.123932 
37.926975, -9.314964, -97.360016, 2.639991, 223.353683 
12.675050, -5.962519, -97.100746, 2.899252, 574.502625 
48.904270, 2.631514, -98.548233, 1.451761, 549.912292 
30.009510, -2.289609, -97.640106, 2.359893, 506.087372 
41.810436, -2.529108, -97.671448, 2.328551, 352.996674 
41.718475, -4.267258, -97.950928, 2.049078, 190.360413 
32.804340, -1.727231, -97.599831, 2.400168, 487.573547 
23.158466, 8.190712, -97.107613, 2.892388, 563.250366 
7.071412, -1.357913, -97.352776, 2.647228, 593.344421 
32.610435, 5.311146, -97.989395, 2.010602, 461.072784 
-37.727409, -8.990425, -97.170685, 2.829312, 753.153625 
2.013751, -4.093751, -97.130020, 2.869983, 615.635986 
38.216854, 16.425156, -98.546890, 1.453102, 360.843384 
48.973766, 3.553848, -97.172119, 2.827880, 227.934296 
12.189415, -4.901834, -97.208595, 2.791408, 552.514099 
32.808022, 2.735200, -97.545456, 2.454547, 503.218475 
40.604874, -3.567019, -97.630455, 2.369545, 336.462006 
37.371914, -7.102793, -97.091965, 2.908037, 265.500824 
28.852640, 7.975355, -97.413185, 2.586807, 543.525330 
45.534199, 3.822274, -97.957443, 2.042557, 468.261292 
27.035500, -0.916514, -97.738022, 2.261977, 627.194641 
32.464954, 7.099607, -98.323151, 1.676842, 398.453247 
37.402573, -3.064112, -98.309891, 1.690110, 229.081467 
36.578339, -6.178071, -97.603157, 2.396848, 219.973389 
31.349709, -9.404952, -98.266815, 1.733192, 202.035431 
19.887459, 4.770735, -97.257294, 2.742706, 576.286438 
41.883598, -1.114117, -97.403534, 2.596461, 233.929840 
42.178825, -5.935955, -97.854324, 2.145680, 474.052582 
34.908081, -5.459451, -97.094955, 2.905043, 279.535431 
45.352398, -12.129178, -98.528847, 1.471145, 435.418854 
8.353477, -3.242881, -97.160118, 2.839884, 568.398315 
37.166374, -1.656594, -98.245270, 1.754729, 238.088562 
33.384602, 13.293327, -98.468834, 1.531166, 557.265747 
11.172234, 1.813735, -97.178207, 2.821785, 734.697632 
8.224880, 0.236036, -97.853729, 2.146269, 829.118286 
49.670708, 4.027412, -97.243805, 2.756197, 363.231964 
30.204466, -14.206982, -98.380241, 1.619757, 443.317261 
39.983456, 1.286974, -98.510811, 1.489189, 448.361694 
39.172726, -1.262457, -97.570213, 2.429784, 230.949066 
11.330441, 3.245924, -97.658112, 2.341886, 824.755371 
43.840218, 2.633309, -97.253899, 2.746101, 358.435669 
44.616596, -5.670661, -98.321503, 1.678501, 286.574249 
