Rotor: None, Hopper: H0, RPM: 3.360215, Dose: 100.000000, Logger_Version: 0.5, Time: 09_21_2020, 15-46-51
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 60.267025 
-3.604714, -62.837173, 396.850098, 1.547355, 73.118919 
-18.942234, -4.987396, 265.954956, 2.769362, 27.923948 
-45.357193, -48.314930, 163.223145, 1.844411, 53.944504 
-19.502159, -5.616748, 381.287476, 2.648389, 32.249077 
-21.614574, -10.323417, -97.163414, 2.836595, 65.151352 
-2.706168, 1.176002, -98.071457, 1.928533, 80.232162 
-27.016171, -12.072771, -98.039085, 1.960916, 67.597176 
-7.736359, -6.093237, -98.000061, 1.999930, 23.456314 
38.775253, -12.286332, -97.447037, 2.552959, 39.441666 
32.149563, 46.188335, -97.163651, 2.836340, 37.191189 
-6.486104, -38.860359, -98.406181, 1.593811, 55.014740 
45.561863, 4.255490, -97.713142, 2.286851, 47.548172 
-7.465011, 62.025848, -97.553329, 2.446667, 64.754135 
35.292526, -5.422587, -97.502029, 2.497977, 71.610733 
-23.874519, 20.485622, -98.556808, 1.443180, 89.674782 
-30.338032, -16.069580, -97.593880, 2.406116, 71.334930 
-22.976988, -3.678577, -97.312141, 2.687854, 42.490612 
4.450484, 21.236589, -98.251099, 1.748902, 68.626839 
-25.224859, -13.534941, -97.953064, 2.046937, 70.390846 
-41.362301, -35.046745, -97.771324, 2.228674, 57.312138 
14.615068, -13.464428, -97.610565, 2.389438, 55.717274 
41.201401, -23.504705, -97.949844, 2.050156, 45.837151 
16.170322, 38.543983, -97.079712, 2.920286, 59.722782 
-99.512001, -7.317424, -98.032570, 1.967428, 43.468929 
1.477781, 10.002460, -98.147125, 1.852873, 65.292572 
38.521759, 13.716538, -98.028130, 1.971874, 74.152863 
-32.279613, 8.533998, -98.515495, 1.484501, 68.351288 
-34.567707, 27.422052, -98.317467, 1.682524, 44.549911 
14.716408, 18.493696, -97.699997, 2.300000, 49.679470 
15.980577, -24.447899, -97.798248, 2.201753, 72.000053 
24.016518, 5.853156, -97.143501, 2.856496, 34.999504 
-8.987618, -2.115731, -98.404373, 1.595636, 34.347282 
-4.328749, -26.604055, -98.120178, 1.879820, 78.236794 
7.107536, 25.190006, -98.090347, 1.909662, 74.323021 
15.075195, 5.419189, -97.397682, 2.602317, 32.291241 
-30.147364, -24.988049, -97.911858, 2.088148, 64.648155 
-31.146338, 12.491125, -98.100426, 1.899572, 78.887383 
32.115498, 16.105177, -97.974480, 2.025521, 77.035408 
-17.953428, -48.724426, -97.907913, 2.092083, 44.418575 
26.337584, -3.853792, -97.468231, 2.531768, 72.862335 
-178.317200, -88.276611, -97.667336, 2.332666, 65.036827 
-16.943277, -34.037411, -98.214508, 1.785491, 47.678585 
1.607147, 27.639652, -97.383163, 2.616828, 78.383423 
-5.747386, -31.028473, -97.023430, 2.976569, 65.075134 
-129.166534, -0.875862, -98.012764, 1.987233, 50.877850 
-35.394772, -3.818290, -97.187561, 2.812440, 43.784420 
5097.281250, 23308.445312, -17366310.000000, 1.547481, 21012.748047 
-21.306923, 24.665813, -98.387291, 1.612705, 63.920338 
34.978386, -52.864243, -97.853737, 2.146265, 57.584923 
41.433529, -26.871067, -97.651215, 2.348778, 73.243858 
-19.330828, 8.779676, -98.353035, 1.646959, 96.469330 
24.897522, -36.991917, -97.371742, 2.628261, 83.449303 
47.962975, -5.933501, -98.355850, 1.644160, 76.776779 
-5.378596, 46.211094, -97.408150, 2.591856, 56.966595 
-21.496634, -2.361559, -97.005508, 2.994497, 45.845367 
-50.368088, -0.238322, -97.227615, 2.772376, 59.260780 
46.127960, -28.982492, -97.360008, 2.639991, 86.561394 
-32.952030, -6.433976, -97.100754, 2.899252, 59.148907 
-2.184882, 58.579384, -98.548241, 1.451761, 74.558228 
27.891853, -8.147872, -97.640106, 2.359893, 74.758743 
37.783047, -4.089168, -97.671440, 2.328551, 35.136974 
-9.846385, -6.249072, -97.950920, 2.049078, 80.534935 
30.264778, 2.188144, -97.599831, 2.400168, 94.951973 
21.454588, 20.073950, -97.107613, 2.892388, 80.244926 
4.977103, -40.152760, -97.352768, 2.647228, 51.681053 
-11.240679, -18.698536, -97.989395, 2.010602, 61.540482 
2.657196, -18.215685, -97.170677, 2.829312, 72.550880 
-12.037762, 36.349407, -97.130013, 2.869983, 50.486954 
