Rotor: R2-9x120d(148), Hopper: H0 (nofric a), RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 14-48-04
x, y, z, size, die_time 
18.683014, 20.307432, 379.103088, 3.000000, 4004.951416 
-33.878475, 13.692225, 252.441330, 3.000000, 3743.377197 
-27.927902, -24.846867, 131.562027, 3.000000, 21001.033203 
68.387032, -47.374519, 277.383118, 3.000000, 4961.838867 
80.915016, 61.149567, 428.933716, 3.000000, 2336.936523 
-38.181416, -54.259262, 256.229858, 3.000000, 4012.906738 
-56.164539, 8.332613, 332.436157, 3.000000, 3755.552979 
-11.896725, 14.646505, 255.684418, 3.000000, 457.854156 
-7.800442, 24.313465, 186.328735, 3.000000, 2109.375244 
-50.527397, 6.255372, 397.389893, 3.000000, 1386.136719 
42.189949, 68.071823, 298.446136, 3.000000, 21001.166016 
59.233589, 37.879688, 403.314819, 3.000000, 1899.362061 
-40.200249, -23.965342, 272.746796, 3.000000, 5894.737305 
75.853088, 26.501667, 421.901489, 3.000000, 4463.819824 
48.068604, 55.821583, 232.682968, 3.000000, 448.660004 
-6.483683, -34.040390, 341.868195, 3.000000, 652.548584 
62.540966, -36.847992, 311.259888, 3.000000, 21001.265625 
-76.363289, -26.573236, 195.969925, 3.000000, 4477.741211 
66.159340, -15.525778, 214.708557, 3.000000, 21001.298828 
-68.483681, 19.105959, 329.071716, 3.000000, 21001.316406 
-10.779322, 45.323643, 304.746399, 3.000000, 193.215805 
28.393871, -26.039078, 270.050079, 3.000000, 3281.292236 
62.248005, 27.745052, 297.509308, 3.000000, 4235.420898 
-33.578159, 66.765175, 347.608093, 3.000000, 21001.382812 
-71.339813, -54.970043, 300.996887, 3.000000, 1874.114014 
-13.876193, -1.035540, 142.829330, 3.000000, 695.117371 
8.000906, -48.978428, 279.119476, 3.000000, 1865.641357 
45.931728, 11.565796, 249.142548, 3.000000, 21001.449219 
14.759300, -33.905582, 276.002655, 3.000000, 447.183441 
60.872116, 26.575075, 328.740173, 3.000000, 1639.183105 
51.801620, 18.793982, 372.358795, 3.000000, 4013.832520 
61.615334, 53.850349, 388.721466, 3.000000, 2096.244629 
17.594032, 18.034863, 147.663544, 3.000000, 185.694077 
4.877769, 7.146559, 205.530716, 3.000000, 21001.548828 
-36.416340, 41.219688, 334.737091, 3.000000, 180.531677 
26.757000, 0.006530, 176.163025, 3.000000, 3749.185791 
-20.476921, -2.836971, 399.080597, 3.000000, 21001.599609 
-10.140312, -50.171486, 243.772919, 3.000000, 2553.467285 
28.392620, 36.140255, 244.445801, 3.000000, 914.815369 
-31.092056, 55.001774, 362.082916, 3.000000, 5437.896973 
-0.971972, -65.078491, 233.945312, 3.000000, 21001.666016 
9.273485, 16.991079, 284.423431, 3.000000, 3512.831299 
-53.892689, -15.920105, 247.715027, 3.000000, 1628.844849 
-29.179131, 49.849693, 440.613220, 3.000000, 3062.580322 
77.346367, -44.170296, 395.371216, 3.000000, 21001.732422 
27.170883, -8.013130, 305.152985, 3.000000, 3995.371582 
-60.009056, 53.019791, 335.483948, 3.000000, 887.221069 
-3.259995, -66.284225, 429.451111, 3.000000, 4235.441406 
76.057907, -39.270611, 364.341492, 3.000000, 3756.170654 
42.699841, -40.758785, 131.842590, 3.000000, 1399.210571 
15.980629, 2.836319, 132.888367, 3.000000, 1889.615112 
-15.583440, 51.643414, 411.707520, 3.000000, 193.709976 
4.576488, 59.479572, 403.162048, 3.000000, 4468.214844 
-41.353634, 12.843611, 227.623550, 3.000000, 2537.057861 
-38.593578, -57.872227, 198.420273, 3.000000, 2568.478271 
-34.853725, 40.192001, 296.535461, 3.000000, 1866.351929 
65.495155, -11.596334, 319.347260, 3.000000, 187.175461 
47.613735, -58.282711, 319.057495, 3.000000, 181.926010 
-68.836082, 25.290468, 329.223328, 3.000000, 4950.267578 
-20.669823, 23.542612, 313.911865, 3.000000, 1593.143555 
20.026638, -2.732297, 304.056000, 3.000000, 3766.094238 
43.810638, -16.171133, -97.000000, 3.000000, 2584.203369 
47.555710, -2.184638, -97.000000, 3.000000, 455.813019 
47.475098, 6.560398, -97.000000, 3.000000, 5183.233398 
44.943199, 19.750568, -97.000000, 3.000000, 2586.585693 
57.813141, -7.168900, -97.000000, 3.000000, 181.478806 
60.396812, 1.577646, -97.000000, 3.000000, 2111.878174 
46.676086, 2.598400, -97.000000, 3.000000, 1632.182129 
46.168205, -9.968131, -97.000000, 3.000000, 3502.107666 
47.097332, 11.456496, -97.000000, 3.000000, 3066.976318 
54.587234, 7.644271, -97.000000, 3.000000, 1871.625977 
62.778084, 15.053227, -97.000000, 3.000000, 5890.532227 
74.414467, 30.697376, -97.000000, 3.000000, 5634.055664 
45.553181, 8.670767, -97.000000, 3.000000, 687.660461 
43.415962, 16.671839, -97.000000, 3.000000, 5409.893066 
42.925549, 10.821020, -97.000000, 3.000000, 2103.662842 
58.205872, 2.606313, -97.000000, 3.000000, 429.753601 
6.358222, -30.637175, -11.089728, 3.000000, 21002.281250 
35.708309, 7.594063, -97.000000, 3.000000, 678.218140 
43.462811, 3.287436, -97.000000, 3.000000, 3769.527344 
46.959633, 17.215506, -97.000000, 3.000000, 2246.117920 
53.431534, 19.774963, -97.000000, 3.000000, 446.414276 
48.598892, 4.152842, -97.000000, 3.000000, 445.120148 
50.165573, 6.675507, -96.999992, 3.000000, 2583.590576 
19.313246, 1.303109, -97.000000, 3.000000, 932.204285 
42.597012, 15.123048, -97.000000, 3.000000, 2342.533447 
36.974533, -12.503164, -96.999985, 3.000000, 3529.759766 
0.183410, 22.263910, -0.489887, 3.000000, 21002.447266 
-26.845001, 8.362944, 48.633854, 3.000000, 21002.462891 
31.804806, -20.580132, -97.000000, 3.000000, 2101.001953 
57.118767, 12.074069, -97.000000, 3.000000, 2798.585938 
45.430817, -8.586460, -97.000000, 3.000000, 4948.597656 
47.204124, -14.455650, -97.000000, 3.000000, 444.969299 
46.346001, -1.008570, -97.000000, 3.000000, 4002.650146 
33.233345, 3.359398, -97.000000, 3.000000, 1392.257324 
29.931618, -0.409708, -97.000000, 3.000000, 1647.449829 
-66.253288, -26.441593, 128.293427, 3.000000, 21002.597656 
42.195122, -8.393600, -97.000000, 3.000000, 2809.786133 
46.710915, 0.175163, -97.000000, 3.000000, 4001.027344 
40.704659, -4.003274, -97.000000, 3.000000, 4718.673828 
-34.143421, -22.516598, 24.644169, 3.000000, 21002.664062 
60.666924, 15.596758, -97.000000, 3.000000, 4468.152344 
52.563473, 9.287052, -97.000000, 3.000000, 1152.331421 
38.065052, 5.362793, -97.000000, 3.000000, 440.566681 
37.723255, 2.659549, -97.000000, 3.000000, 919.948059 
-49.910816, -13.747292, 82.208771, 3.000000, 21002.746094 
49.888161, -13.665650, -97.000000, 3.000000, 2808.155518 
39.047539, 8.841727, -97.000000, 3.000000, 2091.642334 
15.852907, 14.158739, -97.000000, 3.000000, 5893.443359 
66.659676, -24.513781, -97.000000, 3.000000, 1830.521240 
36.792747, -20.392014, -97.000000, 3.000000, 178.235229 
30.394024, -1.370272, -97.000008, 3.000000, 3290.939209 
30.808781, -21.166235, -97.000000, 3.000000, 903.157410 
40.225994, -11.087152, -97.000000, 3.000000, 172.956329 
48.504990, 17.159771, -97.000000, 3.000000, 2589.484131 
34.533844, -3.564417, -97.000000, 3.000000, 1636.274780 
50.928616, -1.572647, -97.000000, 3.000000, 3992.651855 
-23.455256, -0.587964, 24.931408, 3.000000, 21002.945312 
53.322792, -2.490089, -96.999992, 3.000000, 2352.390625 
30.796082, 15.134138, -97.000000, 3.000000, 2592.861572 
87.891518, 29.336632, 133.362274, 3.000000, 21002.996094 
42.836250, -0.133233, -97.000000, 3.000000, 183.081116 
