Rotor: R2-9x120d(148), Hopper: H0 (nofric), RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 12-51-06
x, y, z, size, die_time 
-44.213272, 57.293591, 262.227570, 2.999999, 147.121948 
-65.326614, 24.934156, 310.398071, 2.999999, 5858.460449 
-21.385696, -3.080322, 132.658676, 2.999999, 442.371246 
-14.229222, 5.408039, 178.418900, 2.999999, 431.135376 
80.436455, 4.820755, 435.469727, 2.999999, 5396.043945 
1.226831, -68.458069, 293.388947, 2.999999, 1866.933594 
-46.442406, 56.092102, 277.414337, 2.999999, 1160.355347 
-5.515413, -70.200745, 422.123657, 2.999999, 1370.215942 
-13.412327, 0.395850, 291.883179, 2.999999, 681.764465 
-63.246670, 34.419781, 374.704498, 2.999999, 668.746887 
-11.005616, -6.286162, 143.352753, 2.999999, 691.093933 
49.739567, 8.026811, -97.000000, 2.999999, 1835.779297 
39.325462, 5.940732, -97.000000, 2.999999, 446.543518 
23.074242, -28.287832, -14.678020, 2.999999, 21002.296875 
30.700338, 7.190770, -97.000000, 2.999999, 669.088196 
39.146606, 5.205223, -97.000000, 2.999999, 432.660767 
56.407646, 31.716799, -97.000000, 2.999999, 1620.562378 
40.072067, -14.780593, -97.000008, 2.999999, 135.921829 
42.431103, -25.608133, -96.999992, 2.999999, 2799.003418 
50.582710, -1.996312, -97.000000, 2.999999, 1609.505127 
32.998268, 9.624456, -96.999985, 2.999999, 1385.138062 
47.751328, -2.827187, -97.000000, 2.999999, 3057.755127 
35.615860, 1.384161, -97.000000, 2.999999, 2091.946289 
30.294491, 9.940693, -97.000000, 2.999999, 662.994873 
37.970776, 17.926933, -97.000000, 2.999999, 3499.463135 
43.306599, 0.446741, -97.000008, 2.999999, 1111.464600 
46.752377, 8.561546, -97.000000, 2.999999, 924.099426 
33.414085, 0.850605, -97.000000, 2.999999, 441.785217 
66.313919, 23.128338, -97.000000, 2.999999, 2080.504883 
48.017914, 19.598339, -97.000000, 2.999999, 1838.276001 
44.033646, -13.272106, -97.000000, 2.999999, 1393.362061 
58.518822, -7.470459, -97.000000, 2.999999, 3979.420166 
28.563707, 22.340858, -97.000000, 2.999999, 1371.538574 
44.483341, 1.272288, -97.000000, 2.999999, 430.670502 
39.912266, -3.519545, -97.000000, 2.999999, 1636.629639 
42.878113, 11.414698, -97.000000, 2.999999, 2340.231689 
21.156679, -23.766071, -97.000000, 2.999999, 5139.234375 
72.770691, -4.545176, -97.000000, 2.999999, 4916.099121 
49.581932, 3.064931, -97.000000, 2.999999, 443.327026 
41.621307, -8.107357, -97.000000, 2.999999, 5619.581055 
55.674568, 4.155333, -97.000000, 2.999999, 5403.934570 
