Rotor: R2-9x120d(148), Hopper: H0 (nofric2), RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 13-29-12
x, y, z, size, die_time 
-44.213272, 57.293591, 262.227570, 2.000000, 108.479683 
-65.326614, 24.934156, 310.398071, 2.000000, 654.591797 
-21.385696, -3.080322, 132.658676, 2.000000, 377.638000 
-14.229222, 5.408039, 178.418900, 2.000000, 415.398132 
80.436455, 4.820755, 435.469727, 2.000000, 1108.268066 
1.226831, -68.458069, 293.388947, 2.000000, 647.798157 
-46.442406, 56.092102, 277.414337, 2.000000, 1122.931030 
-5.515413, -70.200745, 422.123657, 2.000000, 897.563171 
-13.412327, 0.395850, 291.883179, 2.000000, 657.289856 
-63.246670, 34.419781, 374.704498, 2.000000, 149.127670 
-11.005616, -6.286162, 143.352753, 2.000000, 676.024902 
47.028557, 18.788462, -98.000000, 2.000000, 644.424072 
53.827038, -0.767890, -98.000000, 2.000000, 671.791870 
42.840660, -1.707721, -98.000000, 2.000000, 1598.855103 
40.761574, -0.260890, -98.000000, 2.000000, 889.574097 
52.955917, -51.677567, -98.000000, 2.000000, 882.753601 
63.919289, -6.455422, -98.000000, 2.000000, 421.352570 
22.499510, 1.170029, -97.999992, 2.000000, 689.415833 
30.597742, 5.670135, -98.000000, 2.000000, 656.241272 
38.966576, -3.581496, -98.000000, 2.000000, 891.630188 
43.876801, 1.851886, -98.000000, 2.000000, 904.005005 
59.480087, 18.670345, -98.000000, 2.000000, 890.932800 
63.670547, 3.076479, -98.000000, 2.000000, 430.211945 
72.891556, -10.783680, -98.000000, 2.000000, 1811.186035 
31.063446, -19.949549, -98.000000, 2.000000, 386.219757 
37.169220, -34.547028, -98.000000, 2.000000, 662.283325 
35.565018, 8.089979, -98.000000, 2.000000, 667.755676 
42.004860, -13.851082, -98.000000, 2.000000, 412.740723 
75.984749, 0.386586, -98.000000, 2.000000, 389.979279 
54.237686, 16.979015, -97.999992, 2.000000, 1594.522583 
38.569786, -1.575462, -97.999985, 2.000000, 403.137604 
43.162170, -0.528269, -98.000000, 2.000000, 678.428711 
33.405193, -16.584488, -98.000000, 2.000000, 656.480408 
42.455456, 11.226316, -98.000015, 2.000000, 419.041138 
44.383762, -4.563187, -98.000000, 2.000000, 413.232971 
26.479218, -14.959736, -98.000000, 2.000000, 654.212769 
73.459518, 3.863485, -98.000008, 2.000000, 660.113770 
41.698059, 3.954029, -98.000000, 2.000000, 409.679413 
51.363701, -18.910770, -98.000000, 2.000000, 659.731018 
36.596645, 5.799247, -98.000000, 2.000000, 1601.426392 
54.368458, 20.541008, -97.999992, 2.000000, 1221.929443 
55.619774, 9.984207, -98.000000, 2.000000, 400.742859 
65.541252, 10.508277, -98.000000, 2.000000, 667.149536 
83.290649, 30.366003, -98.000000, 2.000000, 1253.082031 
59.956520, 14.433544, -98.000000, 2.000000, 650.844299 
47.422855, -9.411173, -97.999992, 2.000000, 662.871643 
56.966599, 15.550099, -98.000000, 2.000000, 658.528687 
24.831360, -16.889526, -98.000000, 2.000000, 860.491638 
34.556648, -7.092359, -98.000000, 2.000000, 407.229828 
78.446983, -13.985495, -98.000000, 2.000000, 874.768127 
