Rotor: R2-9x120d(148), Hopper: H0, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.3, Time: 09_21_2020, 09-35-21
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1502.310669 
-3.604714, -62.837173, 396.850098, 1.547355, 372.297546 
-18.942234, -4.987396, 265.954956, 2.769362, 869.479248 
-45.357193, -48.314930, 163.223145, 1.844411, 445.090637 
-19.502159, -5.616748, 381.287476, 2.648389, 582.590088 
-42.343170, -32.128708, 362.978455, 2.836595, 1109.482300 
0.010435, 65.191750, 260.838562, 1.928533, 671.518738 
86.218918, 60.706085, 371.281342, 1.960916, 981.599792 
-7.736359, -6.093237, 127.520195, 1.999930, 443.679993 
-66.563599, 39.638535, 224.861710, 2.552959, 565.562012 
32.149563, 28.808136, 189.999298, 2.836340, 576.243958 
14.553274, 3.559075, 397.093140, 1.593811, 897.633484 
-66.663452, 48.667400, 423.328125, 2.286851, 1225.295654 
53.831135, -72.233208, 384.247070, 2.446667, 1292.326904 
30.625031, -68.353767, 320.705719, 2.497977, 1379.183105 
66.558044, 61.953999, 322.535553, 1.443180, 1152.166382 
60.527916, 40.764133, 428.849304, 2.406116, 1241.460571 
-62.363529, -43.669422, 183.979019, 2.687854, 144.212173 
85.917938, -70.123642, 352.470337, 1.748902, 904.669495 
-76.501770, 32.738178, 371.796875, 2.046937, 731.933899 
-37.940331, 47.762238, 299.618591, 2.228674, 547.387329 
-66.811134, -51.899586, 373.834045, 2.389438, 220.573502 
-79.423172, 47.309502, 275.137421, 2.050156, 1008.390808 
15.650421, 52.888279, 367.750031, 2.920286, 1151.227539 
78.115967, -7.317424, 316.730988, 1.967428, 713.790161 
-1.446109, -29.482454, 269.911713, 1.852873, 457.610443 
19.011883, -32.825943, 267.309662, 1.971874, 979.215027 
-18.464802, 59.629829, 175.514954, 1.484501, 371.307495 
-20.992516, 17.026077, 74.483551, 1.682524, 701.392395 
-45.921463, -32.189922, 289.842163, 2.300000, 136.373062 
-48.335186, -75.646614, 341.349701, 2.201753, 529.330505 
24.016518, 5.853156, 266.775360, 2.856496, 1210.060547 
-8.987618, -2.115731, 241.827789, 1.595636, 626.765198 
6.853621, 13.899435, 107.332947, 1.879820, 936.558838 
-63.036953, 49.695099, 322.599823, 1.909662, 702.105347 
15.075196, 5.419189, 174.186417, 2.602317, 1086.513184 
