Rotor: R2-9x120d(148), Hopper: H0(no_fric), RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 11-36-53
x, y, z, size, die_time 
-0.121734, 60.301929, 252.721268, 2.999999, 421.223511 
-43.280849, -37.955391, 360.862305, 2.999999, 447.399536 
36.549110, -19.861622, 251.125717, 2.999999, 1387.458130 
42.014015, -61.593662, 232.599106, 2.999999, 4227.200195 
12.310688, -46.764183, 326.524902, 2.999999, 1128.756104 
-71.625572, -26.129244, 371.696350, 2.999999, 3961.488281 
18.568726, 19.430798, 333.559937, 2.999999, 136.903946 
-34.196716, 30.532932, 276.585785, 2.999999, 439.199097 
-31.393250, -46.335789, 269.952850, 2.999999, 3730.871094 
-1.579243, 60.212242, 378.193329, 2.999999, 2344.871826 
7.011525, 3.261087, 103.099167, 2.999999, 875.745117 
79.628403, -3.194072, -97.000000, 2.999999, 381.266663 
56.657055, 17.183201, -97.000000, 2.999999, 898.120422 
97.456711, -1.903730, -97.000008, 2.999999, 1363.765991 
43.144886, 7.143044, -97.000000, 2.999999, 1864.081787 
34.338184, -7.167438, -96.999992, 2.999999, 924.068115 
41.080433, -5.071180, -97.000000, 2.999999, 2812.557373 
48.039486, 17.935495, -97.000000, 2.999999, 2806.008301 
33.522377, 0.787172, -96.999992, 2.999999, 432.749725 
41.351677, -17.680828, -97.000008, 2.999999, 929.695007 
75.626030, 29.165894, -97.000000, 2.999999, 456.323853 
63.263519, 5.873649, -97.000000, 2.999999, 702.687195 
38.211140, 16.292978, -97.000008, 2.999999, 5635.583008 
30.721094, 0.874004, -97.000008, 2.999999, 4937.406738 
43.398949, 13.118054, -97.000000, 2.999999, 2104.007080 
51.225758, 8.244432, -97.000008, 2.999999, 1838.054932 
49.966431, 3.276113, -96.999992, 2.999999, 1152.752686 
62.857681, -17.821629, -97.000000, 2.999999, 424.164795 
36.625763, -7.469659, -97.000000, 2.999999, 685.222412 
47.625443, -24.407293, -97.000000, 2.999999, 2316.890137 
62.884857, 18.127972, -97.000000, 2.999999, 3748.746826 
36.679714, 7.082422, -97.000008, 2.999999, 922.141541 
35.744324, 7.279528, -96.999992, 2.999999, 3036.385742 
30.608204, 16.170712, -97.000000, 2.999999, 1622.692139 
43.205017, 2.849466, -96.999992, 2.999999, 2346.559570 
46.775936, 4.148199, -97.000000, 2.999999, 431.009460 
51.793766, 7.493011, -97.000000, 2.999999, 3528.485107 
45.950775, 22.641064, -97.000000, 2.999999, 1606.866455 
47.720070, -6.526844, -97.000000, 2.999999, 399.306152 
52.060955, -1.991884, -97.000000, 2.999999, 3284.450195 
38.493225, 9.554861, -97.000000, 2.999999, 1136.851196 
46.752060, 2.445081, -97.000000, 2.999999, 4207.020020 
64.190887, 22.164671, -97.000000, 2.999999, 451.312927 
42.065483, 21.861622, -97.000000, 2.999999, 915.786438 
58.688225, -9.042469, -97.000000, 2.999999, 406.390656 
56.869820, -2.566258, -97.000000, 2.999999, 2554.433105 
67.253304, -15.377692, -97.000000, 2.999999, 1345.295654 
48.050629, -6.159924, -97.000000, 2.999999, 2094.639893 
46.182884, 7.166418, -97.000000, 2.999999, 438.180084 
65.363876, -3.704466, -97.000000, 2.999999, 5155.711426 
57.793495, 9.064381, -97.000000, 2.999999, 424.279053 
42.066349, 8.014837, -97.000000, 2.999999, 1605.248291 
56.010605, 9.698235, -96.999992, 2.999999, 4449.525879 
40.750690, 5.944491, -96.999992, 2.999999, 1849.148682 
69.057159, 0.592841, -97.000000, 2.999999, 2334.317871 
42.255157, 7.106042, -97.000000, 2.999999, 1159.544067 
42.489235, 11.177514, -97.000000, 2.999999, 1846.138184 
47.022392, 15.312202, -97.000000, 2.999999, 680.412903 
43.238503, -3.754033, -97.000000, 2.999999, 660.167969 
51.456280, -17.318306, -97.000000, 2.999999, 144.051224 
36.605003, -12.501698, -97.000000, 2.999999, 3969.212891 
68.396591, -0.549898, -97.000000, 2.999999, 908.707764 
34.236168, -18.779751, -97.000008, 2.999999, 1361.622559 
49.539585, -27.319641, -97.000000, 2.999999, 2092.091064 
37.803375, 0.706971, -97.000000, 2.999999, 433.218872 
40.815277, 2.920208, -97.000000, 2.999999, 3027.870605 
36.100979, -1.561497, -96.999992, 2.999999, 454.195587 
16.384064, 8.082400, -97.000008, 2.999999, 884.907898 
51.582268, 25.612034, -97.000008, 2.999999, 2326.241943 
29.449215, 10.098613, -97.000000, 2.999999, 1154.257568 
29.272448, -6.196608, -97.000000, 2.999999, 4456.151367 
46.206787, 3.752141, -97.000000, 2.999999, 419.624969 
39.400490, 20.709715, -97.000000, 2.999999, 913.102356 
16.599386, -2.126719, -97.000000, 2.999999, 2038.789429 
41.363194, 15.926244, -97.000000, 2.999999, 913.423096 
38.411388, -17.083214, -97.000008, 2.999999, 2810.655029 
37.682137, -0.801008, -97.000008, 2.999999, 1155.652588 
42.111603, 4.724621, -97.000000, 2.999999, 3503.282227 
62.105434, -7.086344, -97.000000, 2.999999, 3506.372070 
39.607948, 18.008156, -97.000000, 2.999999, 2322.870361 
34.954460, 18.747253, -97.000000, 2.999999, 1141.383789 
41.785011, 9.907423, -97.000000, 2.999999, 2585.740234 
43.061287, -19.328873, -97.000000, 2.999999, 3966.781006 
47.100021, 6.027858, -97.000000, 2.999999, 1178.520264 
42.289474, 1.808401, -97.000000, 2.999999, 2579.853027 
69.043594, 2.535752, -97.000000, 2.999999, 909.750916 
43.779560, 14.204842, -97.000015, 2.999999, 1867.657349 
35.661880, -2.748447, -97.000008, 2.999999, 425.479156 
47.753994, -3.224735, -97.000008, 2.999999, 153.963760 
29.644875, 4.337522, -97.000000, 2.999999, 2314.423096 
35.189735, -4.521032, -97.000000, 2.999999, 438.120209 
64.738625, 29.530989, -97.000000, 2.999999, 1147.487305 
49.982403, 13.669114, -97.000000, 2.999999, 1397.886353 
29.281801, 6.611392, -97.000000, 2.999999, 2327.766357 
53.667648, 9.398578, -97.000000, 2.999999, 2587.326416 
48.269970, 3.172662, -97.000000, 2.999999, 3977.844971 
