Rotor: R1-9x0d(90), Hopper: H0, RPM: 5.208333, Dose: 100.000000, Logger_Version: 0.2
x, y, z, size, die_time 
-0.121734, 60.301929, 252.721268, 1.626071, 494.083923 
-43.280849, -37.955391, 360.862305, 1.031570, 619.092468 
36.549110, -19.861622, 251.125717, 1.846242, 499.576660 
42.014015, -61.593662, 232.599106, 1.229608, 640.647766 
12.310688, -46.764183, 326.524902, 1.765593, 678.167053 
-71.625572, -26.129244, 371.696350, 1.891064, 671.219910 
18.568726, 19.430798, 333.559937, 1.285689, 638.746521 
-34.196716, 30.532932, 276.585785, 1.307278, 629.730835 
-31.393250, -46.335789, 269.952850, 1.333287, 633.119141 
-1.579243, 60.212242, 378.193329, 1.701973, 796.984741 
7.011525, 3.261087, 103.099167, 1.890894, 785.504456 
47.937115, -23.567703, 431.075806, 1.062541, 481.423615 
-39.784889, 23.118879, 357.894653, 1.524568, 645.772034 
49.955353, 44.553589, 351.051239, 1.631112, 494.069061 
32.070896, -20.742062, 173.418701, 1.665319, 504.923065 
57.589603, -56.013409, 343.391785, 0.962120, 474.544952 
61.885059, 11.331161, 261.268097, 1.604078, 643.272827 
23.008141, 15.969734, 234.417160, 1.791903, 668.091675 
-1.236311, -21.600664, 289.195831, 1.165935, 485.705383 
-44.009602, -8.445954, 417.128876, 1.364625, 487.069550 
-7.438568, 15.028870, 215.059708, 1.485783, 653.029419 
-7.784017, -69.740425, 443.272461, 1.592959, 507.799011 
-22.998615, 4.504378, 259.534119, 1.366771, 770.810242 
-29.458237, 52.114471, 393.812500, 1.946858, 791.156799 
-63.223461, -28.024349, 396.387207, 1.311619, 488.707275 
-22.599323, -28.645895, 254.915070, 1.235249, 763.670166 
20.949768, -53.413429, 314.804443, 1.314583, 636.607300 
-41.209282, 36.738400, 301.881531, 0.989668, 472.647675 
-43.685562, -23.521770, 192.484940, 1.121683, 479.489929 
-46.920444, -31.128588, 372.374969, 1.533334, 495.309326 
16.171680, -69.079773, 340.602112, 1.467836, 646.797729 
25.513344, 64.836861, 348.873016, 1.904331, 507.468445 
0.695919, 4.742149, 107.630692, 1.063757, 761.413391 
-19.190727, -9.994728, 144.572632, 1.253214, 481.383331 
35.037891, 19.301733, 402.634491, 1.273109, 702.906616 
-38.933849, -49.933979, 184.081024, 1.734879, 648.080566 
50.462524, -26.409039, 364.930115, 1.392099, 495.292114 
-43.838135, -60.344398, 314.685730, 1.266382, 624.143372 
74.811569, 8.273888, 329.523956, 1.350348, 635.067932 
-47.181839, -57.481537, 443.956390, 1.394722, 630.082520 
36.230350, -51.991062, 381.786377, 1.687846, 658.435547 
-77.026955, 42.484562, 367.035004, 1.555111, 639.979370 
8.130592, -0.954894, 128.725403, 1.190328, 492.206299 
-23.527672, 71.700378, 377.718536, 1.744553, 1062.836060 
27.355503, 34.527634, 248.685272, 1.984380, 505.372162 
-42.561069, -33.469902, 215.360779, 1.324822, 626.131775 
-57.949100, 35.230961, 277.055969, 1.874960, 654.181580 
-11.815723, 52.995342, 329.998779, 1.031655, 473.206207 
60.397591, -57.187904, 415.852356, 1.075137, 637.505981 
39.909374, -11.098083, 139.411743, 1.430844, 515.282959 
42.783817, -12.499825, 261.661041, 1.565853, 493.839142 
-53.062927, -39.350113, 339.125946, 1.097973, 861.340698 
-16.558998, -36.560661, 368.737183, 1.752174, 653.382385 
47.633244, 10.626110, 410.125244, 1.096107, 616.632080 
-2.876458, 11.695429, 174.551575, 1.727905, 650.403748 
0.916078, 11.667450, 393.506378, 1.996332, 943.856628 
-37.882210, 51.674026, 340.206512, 1.848251, 672.589539 
34.371082, -48.054764, 213.192215, 1.759994, 784.078918 
-1.378282, 53.582596, 412.128296, 1.932835, 660.956909 
33.658272, 52.394444, 327.387238, 0.967841, 477.137878 
37.841614, 60.293339, 419.265564, 1.573263, 494.047058 
41.919205, -19.435253, 117.474777, 1.552368, 491.305023 
36.832481, 1.127650, 338.308167, 1.366052, 499.573181 
33.170776, 12.725883, 400.035217, 1.600113, 936.675964 
-35.584743, 18.873432, 213.963684, 1.928259, 515.032959 
27.475090, -15.048973, 181.980423, 1.764819, 493.722260 
79.784256, 72.435547, 240.257156, 1.340402, 782.289429 
