Rotor: R2-9x120d(148), Hopper: H0, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_21_2020, 15-23-39
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1610.199707 
-3.604714, -62.837173, 396.850098, 1.547355, 337.194702 
-18.942234, -4.987396, 265.954956, 2.769362, 399.840027 
-45.357193, -48.314930, 163.223145, 1.844411, 430.543030 
-19.502159, -5.616748, 381.287476, 2.648389, 426.470276 
22.708885, -1.997061, -97.163406, 2.836595, 1074.329712 
33.451542, -15.771716, -98.071472, 1.928533, 368.624451 
46.622532, -7.361566, -98.039085, 1.960916, 907.996887 
44.390396, -12.438255, -98.000076, 1.999930, 356.948456 
49.614246, 1.121266, -102.044624, 2.552959, 365.500000 
12.507229, -8.734426, -97.163666, 2.836340, 1057.709717 
41.993919, -13.977144, -98.406189, 1.593811, 897.680664 
33.937347, -0.596189, -97.713150, 2.286851, 1000.966187 
32.257248, -7.515737, -97.553337, 2.446667, 689.014954 
44.621147, 4.267548, -97.502014, 2.497977, 968.559082 
39.746719, -5.623132, -98.556824, 1.443180, 888.062378 
28.110600, -4.103726, -97.593887, 2.406116, 1020.047729 
9.533241, -8.708879, -97.312141, 2.687854, 394.293365 
47.564507, -12.701630, -98.251099, 1.748902, 1117.723755 
50.288155, -4.368173, -97.953064, 2.046937, 883.459534 
-9.948936, -9.766248, -97.771324, 2.228674, 768.484131 
21.856213, -6.749868, -97.610565, 2.389438, 804.481934 
32.945873, -6.812952, -97.949844, 2.050156, 1162.424805 
29.574940, -3.861648, -97.079712, 2.920286, 993.846375 
-21.740078, -9.625641, -98.032562, 1.967428, 855.238953 
39.844311, -0.148241, -98.147125, 1.852873, 761.376160 
34.930534, -1.844256, -98.028122, 1.971874, 1166.157837 
38.418941, -16.887663, -98.515495, 1.484501, 841.317200 
20.128767, -5.762877, -98.317474, 1.682524, 791.390625 
38.543655, -7.470411, -97.700005, 2.300000, 669.898621 
38.176147, 6.013446, -97.798248, 2.201753, 649.173218 
38.794006, 2.728198, -97.143509, 2.856496, 978.130371 
37.492538, -11.391100, -98.404373, 1.595636, 859.206116 
30.098448, -9.585172, -98.120178, 1.879820, 947.559387 
39.850513, -4.891729, -98.090332, 1.909662, 393.960266 
30.591578, 2.253840, -97.397682, 2.602317, 783.965210 
46.194023, -4.181593, -97.911850, 2.088148, 663.470276 
35.772869, 7.070986, -98.100418, 1.899572, 874.459595 
38.036213, 1.403968, -97.974480, 2.025521, 731.614685 
42.702797, 8.348959, -97.907913, 2.092083, 685.903137 
44.945225, 2.926182, -97.468231, 2.531768, 959.020813 
30.622040, -3.103884, -97.667343, 2.332666, 656.692932 
49.810272, -8.355516, -98.214508, 1.785491, 331.270233 
41.677094, 11.628910, -97.383171, 2.616828, 696.561951 
25.384014, -3.427425, -97.023430, 2.976569, 791.042786 
-14.770332, -8.919537, -98.012772, 1.987233, 1033.288452 
13.778745, -9.172087, -97.187561, 2.812440, 351.982178 
27.021482, -3.348752, -98.452522, 1.547481, 625.104736 
42.987045, -9.969633, -98.387299, 1.612705, 335.472443 
47.308510, -5.539104, -97.853729, 2.146265, 897.296997 
39.775291, 2.076401, -97.651222, 2.348778, 674.811401 
35.219929, -7.615171, -98.353043, 1.646959, 613.436462 
44.752625, -4.923098, -97.371735, 2.628261, 425.442657 
42.098858, -2.082621, -98.355835, 1.644160, 664.920044 
39.260166, -5.409202, -97.408142, 2.591856, 733.604431 
37.936398, 3.164133, -97.005501, 2.994497, 958.914856 
38.526520, 8.779505, -97.227631, 2.772376, 959.859070 
-21.742510, -8.294131, -97.360008, 2.639991, 1820.478516 
14.438484, -9.854129, -97.100739, 2.899252, 1073.888428 
45.320141, -5.277968, -98.548241, 1.451761, 609.862610 
34.693420, -8.642623, -97.640106, 2.359893, 398.324432 
33.084213, 6.527192, -97.671448, 2.328551, 965.301880 
36.940914, 3.916529, -97.950920, 2.049078, 905.367371 
-2.429381, -7.304608, -97.599831, 2.400168, 1425.807861 
21.370422, -1.587326, -97.107605, 2.892388, 1095.769775 
35.549339, -0.759178, -97.352776, 2.647228, 730.049622 
35.785408, -1.078303, -97.989395, 2.010602, 740.680237 
