Rotor: R2-9x120d(148), Hopper: H0 accum, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 15-51-39
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1337.408936 
-3.604714, -62.837173, 396.850098, 1.547355, 902.969971 
-18.942234, -4.987396, 265.954956, 2.769362, 852.823486 
-45.357193, -48.314930, 163.223145, 1.844411, 392.351715 
-19.502159, -5.616748, 381.287476, 2.648389, 761.705566 
-42.343170, -32.128708, 362.978455, 2.836595, 828.055298 
0.010435, 65.191750, 260.838562, 1.928533, 423.258789 
86.218918, 60.706085, 371.281342, 1.960916, 710.300598 
-7.736359, -6.093237, 127.520195, 1.999930, 785.083923 
-66.563599, 39.638535, 224.861710, 2.552959, 793.828857 
32.149563, 28.808136, 189.999298, 2.836340, 1122.443726 
14.553274, 3.559075, 397.093140, 1.593811, 901.693542 
-66.663452, 48.667400, 423.328125, 2.286851, 196.679840 
53.831135, -72.233208, 384.247070, 2.446667, 1068.476807 
30.625031, -68.353767, 320.705719, 2.497977, 747.596252 
66.558044, 61.953999, 322.535553, 1.443180, 610.355591 
60.527916, 40.764133, 428.849304, 2.406116, 806.353394 
-62.363529, -43.669422, 183.979019, 2.687854, 610.964600 
85.917938, -70.123642, 352.470337, 1.748902, 1386.404663 
-76.501770, 32.738178, 371.796875, 2.046937, 1014.575012 
-37.940331, 47.762238, 299.618591, 2.228674, 475.362976 
-66.811134, -51.899586, 373.834045, 2.389438, 225.195114 
-79.423172, 47.309502, 275.137421, 2.050156, 580.885193 
15.650421, 52.888279, 367.750031, 2.920286, 936.241943 
78.115967, -7.317424, 316.730988, 1.967428, 460.599701 
-1.446109, -29.482454, 269.911713, 1.852873, 666.537964 
19.011883, -32.825943, 267.309662, 1.971874, 775.151794 
-18.464802, 59.629829, 175.514954, 1.484501, 379.654968 
-20.992516, 17.026077, 74.483551, 1.682524, 701.125916 
-45.921463, -32.189922, 289.842163, 2.300000, 612.760437 
-48.335186, -75.646614, 341.349701, 2.201753, 518.083130 
24.016518, 5.853156, 266.775360, 2.856496, 887.189941 
-8.987618, -2.115731, 241.827789, 1.595636, 1140.457520 
6.853621, 13.899435, 107.332947, 1.879820, 721.974304 
-63.036953, 49.695099, 322.599823, 1.909662, 223.630798 
15.075196, 5.419189, 174.186417, 2.602317, 1258.788940 
-35.870094, -46.432755, 222.870544, 2.088148, 563.101379 
-0.261009, -12.920702, 406.764526, 1.899572, 467.571869 
60.154259, 22.619532, 427.127655, 2.025521, 477.279327 
-23.131100, 1.907426, 378.149261, 2.092083, 480.283905 
42.792713, -62.665054, 304.145020, 2.531768, 1297.573120 
52.652351, 2.861838, 284.882507, 2.332666, 521.122314 
-17.860996, -14.367661, 78.882553, 1.785491, 388.407288 
48.022614, 62.779945, 256.385986, 2.616828, 862.109985 
4.792854, -37.046818, 443.038208, 2.976569, 869.522583 
56.939159, -0.875861, 385.360107, 1.987233, 564.771912 
-35.394772, -3.818290, 413.769928, 2.812440, 705.526855 
-11.363826, 27.342800, 360.338928, 1.547481, 380.033966 
-23.802979, -41.439144, 357.433167, 1.612705, 733.711731 
34.786861, 32.916077, 316.293732, 2.146265, 736.369873 
15.592001, 2.362680, 243.388763, 2.348778, 552.114807 
3.274615, -71.462433, 373.557373, 1.646959, 913.558350 
85.341194, 44.263012, 413.832733, 2.628261, 1003.694214 
-23.566967, 20.919855, 302.752197, 1.644160, 641.834961 
