Rotor: R2-9x120d(148), Hopper: H2-bumper-diffuser 15d grav, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_25_2020, 08-54-07
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 695.101624 
-3.604714, -62.837173, 396.850098, 1.547355, 671.057800 
-18.942234, -4.987396, 265.954956, 2.769362, 743.993652 
-45.357193, -48.314930, 163.223145, 1.844411, 720.775940 
-19.502159, -5.616748, 381.287476, 2.648389, 1420.777588 
-36.108116, -8.775255, -97.163406, 2.836595, 2116.467529 
26.823109, -5.961265, -98.071472, 1.928533, 371.866821 
19.130766, 8.992740, -98.039093, 1.960916, 1205.943115 
24.766422, -5.266477, -98.000069, 1.999930, 421.920807 
24.762589, 0.129136, -97.447044, 2.552959, 732.495605 
7.252113, -8.529036, -97.163651, 2.836340, 555.721802 
16.070967, -5.139685, -98.406189, 1.593811, 751.019775 
-1.637233, -7.763632, -97.713142, 2.286851, 1611.357300 
15.442909, -10.076569, -97.553337, 2.446667, 458.903931 
-13.163959, -8.725799, -97.502022, 2.497977, 1657.015137 
-31.450773, -9.340389, -98.556824, 1.443180, 800.491333 
32.159424, -6.996837, -97.593887, 2.406116, 402.195740 
19.150181, -5.528865, -97.312149, 2.687854, 482.652252 
6.046605, -2.772079, -98.251099, 1.748902, 1718.443115 
14.354374, -7.420739, -97.953064, 2.046937, 473.863525 
-3.654644, -8.755127, -97.771324, 2.228674, 1101.622070 
26.523504, -9.081740, -97.610565, 2.389438, 469.356903 
4.676034, -4.329832, -97.949844, 2.050156, 599.956177 
10.549889, -3.418851, -97.079712, 2.920286, 581.950317 
4.958921, -7.509878, -98.032570, 1.967428, 792.803833 
11.718071, -6.578403, -98.147125, 1.852873, 762.157715 
-10.268863, -9.658476, -98.028122, 1.971874, 653.327087 
21.098196, -2.195667, -98.515503, 1.484501, 713.774658 
-50.187935, -9.427856, -98.317482, 1.682524, 957.005920 
10.474969, -10.188937, -97.699997, 2.300000, 1068.467285 
-4.941240, -7.573036, -97.798248, 2.201753, 642.919250 
30.583099, 2.292455, -97.143501, 2.856496, 423.391937 
34.143173, -9.012281, -98.404366, 1.595636, 562.580627 
31.597393, -2.420258, -98.120178, 1.879820, 391.048218 
-40.738575, -8.975198, -98.090347, 1.909662, 886.004883 
26.439651, -8.832466, -97.397690, 2.602317, 381.786713 
-42.154434, -12.235355, -97.911850, 2.088148, 913.961731 
20.697731, -9.589687, -98.100426, 1.899572, 423.894745 
-12.538850, -6.935735, -97.974472, 2.025521, 966.366455 
25.341656, -4.002378, -97.907913, 2.092083, 966.092102 
2.989224, -8.957970, -97.468231, 2.531768, 2065.904785 
28.183624, -6.863567, -97.667343, 2.332666, 687.408081 
-55.439346, -12.326388, -98.214516, 1.785491, 1002.964417 
9.688077, -9.438020, -97.383179, 2.616828, 496.489716 
5.918363, -9.442651, -97.023430, 2.976569, 536.438477 
2.516131, -6.895336, -98.012764, 1.987233, 1064.050415 
29.101006, -6.249963, -97.187561, 2.812440, 457.738739 
15.320122, -11.199614, -98.452515, 1.547481, 431.739319 
28.641712, 2.601964, -98.387299, 1.612705, 938.739502 
1.758000, -7.703673, -97.853729, 2.146265, 590.085449 
28.070784, 2.147661, -97.651222, 2.348778, 680.486206 
20.270500, -8.251607, -98.353035, 1.646959, 420.968384 
-27.091700, -12.267382, -97.371735, 2.628261, 1034.906372 
13.016407, -7.581418, -98.355843, 1.644160, 498.429413 
9.856496, -5.718874, -97.408142, 2.591856, 784.357361 
-4.929739, 2.990575, -97.005501, 2.994497, 1412.581787 
15.619837, -5.056029, -97.227631, 2.772376, 748.048584 
-6.754670, -7.547026, -97.360016, 2.639991, 1587.247925 
12.321061, -11.498955, -97.100739, 2.899252, 829.711853 
3.984888, -7.917930, -98.548241, 1.451761, 1241.720093 
21.461426, -7.408062, -97.640106, 2.359893, 437.521057 
10.682824, -6.155809, -97.671448, 2.328551, 538.450439 
28.374355, -2.192455, -97.950912, 2.049078, 401.891357 
1.877243, -9.346739, -97.599838, 2.400168, 564.076111 
27.983688, -5.970520, -97.107605, 2.892388, 419.264557 
-14.064025, -8.446540, -97.352768, 2.647228, 1905.645386 
-11.714972, -10.524664, -97.989395, 2.010602, 661.259338 
12.999226, -7.307954, -97.170685, 2.829312, 604.635681 
30.176949, -11.367562, -97.130013, 2.869983, 421.854004 
26.447376, -2.847617, -98.546898, 1.453102, 671.420044 
30.963915, 4.907815, -97.172119, 2.827880, 706.598755 
-3.373183, -8.589788, -97.208603, 2.791408, 675.265808 
25.556990, -11.277723, -97.545448, 2.454547, 423.070007 
1.821549, -6.157760, -97.630447, 2.369545, 1080.188599 
-19.497133, -10.271896, -97.091957, 2.908037, 988.409424 
-4.077852, -6.256246, -97.413193, 2.586807, 1133.234497 
15.871913, -0.192756, -97.957443, 2.042557, 1715.556030 
39.818283, 14.624678, -97.738029, 2.261977, 704.385376 
25.377897, -2.285578, -98.323166, 1.676842, 920.742798 
19.101620, -5.287640, -98.309891, 1.690110, 464.838043 
29.358580, -10.757931, -97.603149, 2.396848, 394.868530 
32.212036, -4.547936, -98.266808, 1.733192, 354.145599 
-35.654636, -9.662649, -97.257301, 2.742706, 1579.043823 
-40.215801, -20.640406, 55.472702, 2.596461, 21021.746094 
2.936938, -8.931250, -97.854317, 2.145680, 1069.720337 
22.825579, -20.992723, 18.320158, 2.905043, 21022.246094 
-8.437240, -11.515699, -98.528862, 1.471145, 1096.754883 
-50.726391, 10.885593, -97.160110, 2.839884, 2035.487671 
3.931766, -6.994738, -98.245270, 1.754729, 815.621704 
25.577805, -9.337926, -98.468842, 1.531166, 370.584625 
-1.128548, -6.868118, -97.178207, 2.821785, 3238.193359 
19.843708, -5.138230, -97.853729, 2.146269, 463.090302 
-12.746692, -10.149603, -97.243790, 2.756197, 1127.588013 
15.807594, -9.177094, -98.380249, 1.619757, 932.674805 
42.794628, -17.899900, -98.510811, 1.489189, 585.540894 
37.371536, -7.144382, -97.570206, 2.429784, 677.660889 
-10.408324, -10.595049, -97.658112, 2.341886, 1609.874023 
21.487114, -6.727448, -97.253906, 2.746101, 506.901367 
22.596878, -9.795113, -98.321503, 1.678501, 390.420868 
-41.780048, -10.919191, -97.058952, 2.941050, 2115.028320 
24.190516, -7.410657, -97.719704, 2.280291, 387.400391 
31.930107, -3.901254, -97.914703, 2.085298, 382.206573 
-1.730914, -5.026947, -98.384842, 1.615162, 886.683655 
-2.663948, -4.323351, -97.667244, 2.332759, 890.516357 
32.603832, 0.577527, -97.775742, 2.224256, 642.101685 
27.379162, -6.084617, -97.256401, 2.743604, 443.634827 
31.616566, -1.761688, -97.966362, 2.033644, 384.819366 
7.748225, -9.863148, -98.241211, 1.758782, 774.855286 
18.990875, 0.482248, -97.158279, 2.841718, 546.558777 
28.409744, 0.212067, -97.366852, 2.633150, 705.887756 
8.999072, -11.739008, -98.442276, 1.557720, 486.697723 
-18.736122, -5.898315, -97.180649, 2.819342, 1978.095825 
19.261206, -9.031202, -98.007576, 1.992421, 449.024994 
22.053118, 4.771918, -97.030518, 2.969484, 760.159363 
10.596342, -7.572158, -97.512520, 2.487486, 756.758362 
-11.645310, -9.675283, -97.674065, 2.325939, 676.484924 
24.208298, -6.668327, -98.091042, 1.908960, 399.677399 
14.790252, -7.996336, -97.183334, 2.816658, 512.361694 
24.065441, -8.920262, -98.497925, 1.502066, 392.276947 
14.387762, -5.445699, -97.240479, 2.759527, 770.916382 
-3883196.000000, 231.483200, -14680794.000000, 2.130186, 21030.994141 
19.571938, -6.584181, -98.528412, 1.471587, 692.632446 
18.110464, -4.974092, -98.443710, 1.556288, 955.803955 
26.830263, 0.432812, -97.091553, 2.908450, 469.644196 
19.639418, -6.683372, -97.433823, 2.566180, 484.211456 
-0.423913, -9.820904, -97.075470, 2.924523, 645.999329 
27.985441, -19.709909, -98.403137, 1.596859, 626.453735 
7.409258, -6.904312, -97.527588, 2.472416, 808.263428 
14.625606, 0.817881, -97.241867, 2.758136, 4805.042480 
33.909019, -2.239983, -98.083931, 1.916071, 374.097015 
23.621647, 2.974097, -97.162300, 2.837697, 459.404907 
14.921755, -5.280478, -97.355331, 2.644664, 832.224976 
16.130856, -8.897906, -97.537613, 2.462388, 710.268433 
28.572851, -5.454650, -97.687340, 2.312666, 410.928406 
7.948928, -7.601853, -97.671021, 2.328971, 558.703125 
15.850264, 0.394021, -98.055634, 1.944363, 1238.455200 
13.786000, -7.162528, -98.494354, 1.505647, 486.126343 
26.941721, -6.184495, -97.650116, 2.349885, 690.415100 
46.670345, -4.132697, -97.090225, 2.909771, 365.469543 
29.741592, -9.685760, -98.152969, 1.847034, 374.615509 
-3.985237, -9.706903, -97.657867, 2.342133, 606.064209 
-2.334630, -3.859567, -97.116005, 2.884001, 2323.957520 
15.268584, -7.728609, -97.200493, 2.799513, 735.241516 
20.440544, -6.742623, -98.079521, 1.920480, 443.577362 
-31.097593, -7.146598, -97.079071, 2.920927, 1385.938721 
4.784661, -8.160433, -97.872719, 2.127285, 566.880310 
-16.616581, -7.187990, -97.353889, 2.646112, 2147.453857 
3.163884, -9.922844, -98.272591, 1.727409, 780.301636 
-4.856921, -4.408604, -97.573860, 2.426135, 1634.583740 
-3.910866, -6.338387, -97.477776, 2.522223, 1371.747803 
34.812653, -8.220815, -97.871361, 2.128637, 342.376099 
26.055553, -9.389158, -98.215431, 1.784572, 414.199738 
2.032983, -10.003560, -97.692528, 2.307474, 2243.546143 
24.377729, -4.418213, -97.305939, 2.694049, 728.021729 
13.320649, -4.609944, -97.465599, 2.534395, 789.074951 
18.940470, -7.135746, -97.982887, 2.017112, 470.376984 
-54.281116, 4.275609, -98.424568, 1.575426, 1109.087158 
12.571801, -5.120245, -98.337173, 1.662833, 988.492004 
29.021507, -2.905519, -98.360046, 1.639953, 679.277161 
0.283218, -5.400717, -97.277756, 2.722236, 1598.795288 
-10.429244, -8.805580, -97.159668, 2.840323, 4006.605713 
25.293839, -6.738960, -98.003098, 1.996914, 938.886292 
-18.315697, -11.070606, -98.162827, 1.837181, 713.735779 
26.615925, -0.238417, -97.876198, 2.123802, 683.448120 
29.440716, -9.332427, -98.185364, 1.814641, 430.886688 
31.493587, -9.628763, -97.919693, 2.080311, 624.168335 
-9.714823, -5.538674, -97.973587, 2.026411, 1414.534668 
-6.794153, -6.743678, -97.148415, 2.851587, 930.486328 
20.431849, -23.445862, -98.446129, 1.553866, 596.247498 
-1.178676, -3.453499, -97.844582, 2.155419, 851.478455 
-35.374420, -11.163764, -98.471062, 1.528943, 1095.255371 
24.934967, -6.357264, -97.187668, 2.812334, 475.338043 
22.844444, -1.004829, -97.648987, 2.351020, 721.467834 
9.647848, -8.729728, -98.336586, 1.663414, 515.610657 
2.484690, -7.897687, -97.670166, 2.329843, 1361.321899 
-3.088832, -9.156775, -97.465912, 2.534087, 623.262451 
2.921432, -5.224524, -97.106712, 2.893285, 1112.741211 
31.968384, -7.334308, -97.595619, 2.404375, 349.797241 
-7.174998, -9.297745, -97.891281, 2.108723, 647.396484 
19.120197, -5.634193, -98.023148, 1.976848, 706.049438 
-26.310518, -9.458000, -97.460617, 2.539385, 1769.136230 
25.544394, -0.788504, -98.116119, 1.883875, 692.492676 
-53.079849, -3.331941, -98.284775, 1.715226, 3713.909668 
24.606680, -7.313961, -97.962585, 2.037410, 405.530853 
2.063179, -7.919629, -97.327133, 2.672868, 1613.211060 
0.603789, -11.321630, -97.728241, 2.271769, 586.740540 
15.530065, -8.339824, -97.709961, 2.290046, 775.806519 
27.707979, -9.964547, -97.953407, 2.046595, 373.987549 
19.677204, -7.457059, -97.113274, 2.886722, 763.196899 
24.235554, -11.691469, -97.669998, 2.330002, 402.268799 
5.988007, -1.863358, -97.788139, 2.211860, 1543.394653 
