Rotor: R2-9x120d(148), Hopper: H2-bumper-diffuser, RPM: 2.815315, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 18-36-24
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1207.584595 
-3.604714, -62.837173, 396.850098, 1.547355, 1337.761475 
-18.942234, -4.987396, 265.954956, 2.769362, 1119.705933 
-45.357193, -48.314930, 163.223145, 1.844411, 401.981018 
-19.502159, -5.616748, 381.287476, 2.648389, 1062.889404 
31.088223, -6.075341, -97.163406, 2.836595, 736.727783 
10.100992, -7.228327, -98.071472, 1.928533, 1108.358154 
35.554314, -30.149048, -98.039093, 1.960916, 647.101929 
47.788536, 3.815571, -98.000076, 1.999930, 604.035767 
43.858448, -2.138936, -97.447037, 2.552959, 396.501038 
40.731274, 13.472276, -97.163651, 2.836340, 970.979614 
36.882217, 6.127389, -98.406189, 1.593811, 588.009216 
20.261765, -10.020899, -97.713142, 2.286851, 641.468079 
40.654663, 4.204571, -97.553329, 2.446667, 967.600525 
37.166553, -1.108020, -97.502022, 2.497977, 1191.990967 
23.064495, 0.887226, -98.556816, 1.443180, 838.237183 
38.217972, -7.812961, -97.593880, 2.406116, 422.059479 
48.536957, 0.297986, -97.312141, 2.687854, 408.627106 
37.902496, -5.874427, -98.251099, 1.748902, 1137.012573 
36.684910, -0.974577, -97.953064, 2.046937, 1146.060913 
37.521507, -9.340511, -97.771324, 2.228674, 382.852417 
33.209560, -7.101895, -97.610565, 2.389438, 452.312988 
36.277866, 2.308641, -97.949844, 2.050156, 1213.697998 
28.668344, 3.596957, -97.079712, 2.920286, 1020.890442 
31.954285, -7.575749, -98.032570, 1.967428, 428.047211 
2.803483, -7.235805, -98.147133, 1.852873, 921.023926 
55.011173, -11.374294, -98.028130, 1.971874, 897.303040 
35.888111, -11.947584, -98.515503, 1.484501, 373.648254 
35.704666, -13.159862, -98.317482, 1.682524, 368.605530 
37.801003, -6.275215, -97.700005, 2.300000, 937.075867 
38.718048, -5.309825, -97.798248, 2.201753, 957.094910 
26.705090, 1.646814, -97.143509, 2.856496, 2425.828613 
-4.037342, -8.611794, -98.404373, 1.595636, 703.377747 
43.152092, -5.793169, -98.120178, 1.879820, 900.561096 
42.315666, 1.307060, -98.090347, 1.909662, 943.529541 
26.561138, -7.652621, -97.397690, 2.602317, 771.912781 
53.494064, 6.456048, -97.911858, 2.088148, 629.851318 
30.861816, -4.573926, -98.100418, 1.899572, 467.761230 
36.667023, 7.513484, -97.974480, 2.025521, 647.459595 
40.328239, 4.717017, -97.907913, 2.092083, 1153.567261 
38.379807, -9.156142, -97.468239, 2.531768, 1240.436157 
-17.861794, -8.278244, -97.667336, 2.332666, 829.787109 
45.398624, -0.925524, -98.214508, 1.785491, 378.466858 
31.286549, 0.137610, -97.383179, 2.616828, 1007.472168 
19.574757, -7.119266, -97.023430, 2.976569, 1019.639038 
37.101929, -8.980400, -98.012772, 1.987233, 400.227356 
49.999657, -3.391629, -97.187553, 2.812440, 375.031525 
37.150501, -8.766126, -98.452515, 1.547481, 890.059021 
55.976330, -1.722826, -98.387299, 1.612705, 594.620300 
45.615692, 10.500917, -97.853737, 2.146265, 889.269043 
36.113384, -3.654186, -97.651222, 2.348778, 1186.082764 
31.511467, -20.222015, -98.353043, 1.646959, 591.626770 
41.452015, -4.150020, -97.371742, 2.628261, 420.471375 
30.760981, -5.350248, -98.355835, 1.644160, 971.002014 
37.390930, -7.240345, -97.408134, 2.591856, 724.147461 
40.392269, -5.500627, -97.005501, 2.994497, 432.021667 
33.293678, 0.746753, -97.227631, 2.772376, 986.563904 
33.849789, -8.983119, -97.360008, 2.639991, 1273.497925 
1.343325, -12.316738, -97.100746, 2.899252, 3004.421387 
50.836456, -0.811979, -98.548241, 1.451761, 587.896057 
39.094429, -8.680169, -97.640106, 2.359893, 392.730835 
32.303852, -3.732078, -97.671448, 2.328551, 1181.296387 
14.119410, -3.299489, -97.950928, 2.049078, 1321.906860 
51.932133, 22.262484, -97.599831, 2.400168, 1188.557373 
42.756920, -5.990791, -97.107613, 2.892388, 407.197845 
39.288597, -6.182081, -97.352768, 2.647228, 669.685974 
49.790703, -5.958788, -97.989403, 2.010602, 1164.276245 
28.032520, -5.169544, -97.170692, 2.829312, 1025.400757 
39.089432, -4.239684, -97.130013, 2.869983, 711.158691 
50.778435, 1.950698, -98.546898, 1.453102, 612.438843 
1.405789, -6.609268, -97.172112, 2.827880, 1423.098511 
42.145302, 0.759092, -97.208588, 2.791408, 986.741821 
31.231380, -4.284617, -97.545456, 2.454547, 984.599243 
37.695354, 1.248357, -97.630463, 2.369545, 960.786072 
37.713467, 5.945966, -97.091965, 2.908037, 966.002258 
41.603558, -1.836511, -97.413193, 2.586807, 401.278351 
33.717972, 5.210354, -97.957436, 2.042557, 1150.908936 
42.750652, -5.766907, -97.738029, 2.261977, 388.535950 
32.898232, -5.808306, -98.323166, 1.676842, 1132.926514 
35.776691, -2.505913, -98.309891, 1.690110, 454.875458 
37.249504, -5.015474, -97.603149, 2.396848, 443.536987 
53.384163, -13.158652, -98.266800, 1.733192, 622.017822 
10.048000, -7.285933, -97.257294, 2.742706, 635.677612 
41.203384, 9.709900, -97.403534, 2.596461, 1235.243408 
42.011810, -6.890004, -97.854317, 2.145680, 375.695282 
-33.168930, -22.072863, 61.389706, 2.905043, 21022.246094 
43.664352, -6.858086, -98.528862, 1.471145, 884.644104 
34.605022, 2.797256, -97.160110, 2.839884, 1017.835266 
55.510983, -5.946164, -98.245270, 1.754729, 891.905762 
40.910713, -4.963835, -98.468826, 1.531166, 593.165527 
19.756416, -5.696690, -97.178215, 2.821785, 1295.409302 
33.874695, 0.792118, -97.853737, 2.146269, 1240.032715 
36.474747, 0.054956, -97.243805, 2.756197, 969.571777 
37.366264, -2.693569, -98.380234, 1.619757, 863.255127 
56.845398, 3.944260, -98.510818, 1.489189, 597.460022 
41.826042, 0.997021, -97.570213, 2.429784, 666.779480 
44.658173, 1.350433, -97.658112, 2.341886, 946.266907 
-14.438190, -9.248431, -97.253899, 2.746101, 1052.934692 
23.091167, -2.859860, -98.321503, 1.678501, 1032.270752 
8.724014, -4.557909, -97.058952, 2.941050, 670.555908 
27.215204, -9.287947, -97.719711, 2.280291, 623.111572 
47.459232, -8.366781, -97.914703, 2.085298, 618.140747 
19.869020, -11.250875, -98.384842, 1.615162, 834.055542 
30.621815, -7.713577, -97.667236, 2.332759, 518.685547 
24.929491, -5.262140, -97.775742, 2.224256, 830.576538 
40.278740, -6.112771, -97.256401, 2.743604, 406.019897 
11.980038, -9.593235, -97.966354, 2.033644, 612.731567 
33.981506, -6.486388, -98.241211, 1.758782, 1105.015259 
38.458000, 4.284520, -97.158279, 2.841718, 1003.479248 
44.872055, 13.902100, -97.366852, 2.633150, 1227.275269 
39.070423, -18.603613, -98.442284, 1.557720, 582.073547 
46.818245, 0.614510, -97.180664, 2.819342, 423.956329 
-6.291523, -8.574085, -98.007584, 1.992421, 758.807251 
40.876102, -4.384764, -97.030518, 2.969484, 746.702209 
29.308039, -3.790197, -97.512512, 2.487486, 981.536072 
39.831390, 11.582898, -97.674065, 2.325939, 1177.199219 
47.223343, 1.433783, -98.091034, 1.908960, 613.176392 
41.474510, -6.514030, -97.183334, 2.816658, 950.908813 
52.814911, -17.585537, -98.497940, 1.502066, 844.937378 
24.595104, -7.092885, -97.240479, 2.759527, 1001.245117 
56.506668, 3.686681, -97.869812, 2.130186, 629.206482 
60.276695, -9.339999, -98.528412, 1.471587, 862.821472 
22.389717, -6.955966, -98.443718, 1.556288, 1341.257080 
0.143688, -9.088161, -97.091553, 2.908450, 1453.882812 
21.873062, -5.438751, -97.433823, 2.566180, 770.491516 
37.517601, -7.153169, -97.075485, 2.924523, 680.547424 
33.533283, 0.582161, -98.403137, 1.596859, 740.629517 
42.424732, -1.382290, -97.527588, 2.472416, 632.843933 
35.787521, -4.173147, -97.241867, 2.758136, 702.847351 
39.957817, 1.677170, -98.083939, 1.916071, 1200.069580 
29.656273, -3.292239, -97.162308, 2.837697, 761.802734 
27.702608, -8.855940, -97.355331, 2.644664, 1201.048706 
42.388466, -3.307316, -97.537613, 2.462388, 696.653259 
32.982239, -6.321444, -97.687332, 2.312666, 714.093445 
40.869812, -0.016181, -97.671028, 2.328971, 630.795471 
33.965534, -8.721342, -98.055634, 1.944363, 403.527954 
-18.498363, -9.463651, -98.494354, 1.505647, 1057.822876 
27.364002, -4.723523, -97.650116, 2.349885, 500.958740 
44.955399, 0.496018, -97.090240, 2.909771, 958.099060 
34.960121, -6.419724, -98.152962, 1.847034, 446.885040 
32.444199, -7.210032, -97.657867, 2.342133, 642.148499 
45.071907, -3.181790, -97.116005, 2.884001, 671.642395 
42.745193, -9.723997, -97.200493, 2.799513, 994.139709 
35.834831, -2.625972, -98.079521, 1.920480, 1379.499634 
42.867065, 8.094545, -97.079071, 2.920927, 995.593689 
45.416359, 7.013371, -97.872719, 2.127285, 883.749390 
15.782352, -7.430523, -97.353897, 2.646112, 1315.391724 
22.847162, -10.615586, -98.272598, 1.727409, 1119.356445 
42.490711, -8.078477, -97.573868, 2.426135, 1165.636841 
48.339336, -9.133878, -97.477776, 2.522223, 661.149536 
54.047485, -0.502511, -97.871353, 2.128637, 638.073120 
21.314754, 3.915802, -98.215431, 1.784572, 841.057678 
27.121246, 5.238547, -97.692528, 2.307474, 625.547729 
-32.406738, -9.087543, -97.305954, 2.694049, 2148.031738 
33.356010, -1.595038, -97.465607, 2.534395, 1227.860352 
36.270744, -6.696879, -97.982887, 2.017112, 616.252991 
46.761883, -11.307191, -98.424576, 1.575426, 833.336609 
-23.245810, -10.334037, -98.337166, 1.662833, 1340.472656 
41.882977, -3.891005, -98.360046, 1.639953, 588.647095 
55.203941, -15.121326, -97.277756, 2.722236, 647.708496 
17.515673, -6.024962, -97.159676, 2.840323, 3462.061035 
