Rotor: R2-9x120d(74), Hopper: H0 acumm, RPM: 5.630631, Dose: 100.000000, Logger_Version: 0.5, Time: 09_22_2020, 16-18-50
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 806.899963 
-3.604714, -62.837173, 396.850098, 1.547355, 472.355225 
-18.942234, -4.987396, 265.954956, 2.769362, 476.206360 
-45.357193, -48.314930, 163.223145, 1.844411, 528.404541 
-19.502159, -5.616748, 381.287476, 2.648389, 355.491241 
-42.343170, -32.128708, 362.978455, 2.836595, 579.654907 
0.010435, 65.191750, 260.838562, 1.928533, 464.938385 
86.218918, 60.706085, 371.281342, 1.960916, 407.655304 
-7.736359, -6.093237, 127.520195, 1.999930, 467.976410 
-66.563599, 39.638535, 224.861710, 2.552959, 628.236328 
32.149563, 28.808136, 189.999298, 2.836340, 496.012268 
14.553274, 3.559075, 397.093140, 1.593811, 498.319458 
-66.663452, 48.667400, 423.328125, 2.286851, 212.126587 
53.831135, -72.233208, 384.247070, 2.446667, 457.734375 
30.625031, -68.353767, 320.705719, 2.497977, 561.705566 
66.558044, 61.953999, 322.535553, 1.443180, 432.803253 
60.527916, 40.764133, 428.849304, 2.406116, 921.637024 
-62.363529, -43.669422, 183.979019, 2.687854, 103.984077 
85.917938, -70.123642, 352.470337, 1.748902, 586.989319 
-76.501770, 32.738178, 371.796875, 2.046937, 632.588928 
-37.940331, 47.762238, 299.618591, 2.228674, 243.266403 
-66.811134, -51.899586, 373.834045, 2.389438, 329.113037 
-79.423172, 47.309502, 275.137421, 2.050156, 928.956055 
15.650421, 52.888279, 367.750031, 2.920286, 559.451965 
78.115967, -7.317424, 316.730988, 1.967428, 380.105621 
-1.446109, -29.482454, 269.911713, 1.852873, 380.155975 
19.011883, -32.825943, 267.309662, 1.971874, 634.668091 
-18.464802, 59.629829, 175.514954, 1.484501, 186.174469 
-20.992516, 17.026077, 74.483551, 1.682524, 458.431396 
-45.921463, -32.189922, 289.842163, 2.300000, 513.583191 
-48.335186, -75.646614, 341.349701, 2.201753, 323.195465 
24.016518, 5.853156, 266.775360, 2.856496, 523.194031 
-8.987618, -2.115731, 241.827789, 1.595636, 188.501251 
6.853621, 13.899435, 107.332947, 1.879820, 503.349457 
-63.036953, 49.695099, 322.599823, 1.909662, 182.803802 
15.075196, 5.419189, 174.186417, 2.602317, 775.111511 
-35.870094, -46.432755, 222.870544, 2.088148, 496.222717 
-0.261009, -12.920702, 406.764526, 1.899572, 340.622375 
60.154259, 22.619532, 427.127655, 2.025521, 732.310913 
-23.131100, 1.907426, 378.149261, 2.092083, 245.810516 
42.792713, -62.665054, 304.145020, 2.531768, 679.868591 
52.652351, 2.861838, 284.882507, 2.332666, 560.140686 
-17.860996, -14.367661, 78.882553, 1.785491, 201.033432 
48.022614, 62.779945, 256.385986, 2.616828, 452.873688 
4.792854, -37.046818, 443.038208, 2.976569, 545.787598 
56.939159, -0.875861, 385.360107, 1.987233, 430.988800 
-35.394772, -3.818290, 413.769928, 2.812440, 351.189697 
-11.363826, 27.342800, 360.338928, 1.547481, 309.845093 
-23.802979, -41.439144, 357.433167, 1.612705, 483.743073 
34.786861, 32.916077, 316.293732, 2.146265, 551.153564 
15.592001, 2.362680, 243.388763, 2.348778, 448.843689 
3.274615, -71.462433, 373.557373, 1.646959, 522.526367 
85.341194, 44.263012, 413.832733, 2.628261, 637.768616 
-23.566967, 20.919855, 302.752197, 1.644160, 320.167267 
-5.378596, -42.553909, 277.923859, 2.591856, 599.228149 
-20.108902, -0.001149, 403.321167, 2.994497, 359.205109 
-79.230835, -2.864004, 436.913513, 2.772376, 467.014008 
85.725182, -70.006363, 411.810791, 2.639991, 336.863068 
-73.613434, -2.276755, 414.250000, 2.899252, 534.037354 
-8.520308, 52.925121, 369.719025, 1.451761, 321.798187 
70.095032, -11.905067, 362.001221, 2.359893, 587.459412 
37.783047, -4.089168, 96.091125, 2.328551, 574.700745 
67.176628, 56.693359, 375.002777, 2.049078, 520.660156 
33.919186, 61.207859, 343.656586, 2.400168, 544.865845 
8.612919, 13.750734, 121.786163, 2.892388, 673.309265 
10.682694, -35.929821, 194.227142, 2.647228, 273.371613 
51.837868, 27.616978, 368.472290, 2.010602, 423.104675 
47.379589, 66.028183, 391.744476, 2.829312, 504.867828 
-12.037762, 40.744942, 161.903458, 2.869983, 345.127197 
-16.681644, 16.164660, 194.207962, 1.453102, 372.749359 
16.835342, 29.398184, 379.732483, 2.827880, 509.282135 
79.102074, -54.811207, 232.342056, 2.791408, 566.677063 
-4.389400, -68.526169, 318.247192, 2.454547, 302.651031 
63.862495, -67.473846, 263.272644, 2.369545, 666.379395 
4.766874, 37.623119, 267.045990, 2.908037, 462.772156 
-43.714939, 43.290501, 291.116119, 2.586807, 221.528732 
7.908748, 53.390064, 439.119934, 2.042557, 360.397736 
85.832199, -12.914539, 322.074066, 2.261977, 412.431030 
-54.523098, -23.674765, 334.589813, 1.676842, 325.107208 
-41.135662, -26.574318, 362.594910, 1.690110, 152.916245 
-34.429279, 10.202366, 208.060638, 2.396848, 244.578018 
-21.823624, -21.582668, 378.742920, 1.733192, 204.417542 
60.484032, -17.483969, 340.866302, 2.742706, 440.837006 
-16.893803, 12.918407, 404.508545, 2.596461, 425.637726 
83.458282, -26.439566, 318.544037, 2.145680, 365.253998 
-72.307907, -75.089890, 281.941467, 2.905043, 471.259552 
73.057533, -60.147537, 401.270630, 1.471145, 429.176300 
-8.106627, 12.003275, 182.243774, 2.839884, 618.766296 
-62.203125, 16.808958, 300.955811, 1.754729, 195.625015 
-14.104203, -47.678707, 330.292664, 1.531166, 551.217773 
10.950790, 12.381039, 113.530487, 2.821785, 613.138855 
38.317085, -16.565590, 282.217651, 2.146269, 510.759735 
-32.912205, 9.336849, 261.194794, 2.756197, 348.822174 
-13.021442, -39.744640, 382.213623, 1.619757, 333.299957 
-27.138287, 0.353824, 202.084991, 1.489189, 164.978851 
-26.281895, -24.518938, 389.191650, 2.429784, 248.771851 
79.811569, -68.195847, 399.121796, 2.341886, 555.793945 
69.156700, -33.046162, 358.498535, 2.746101, 335.910522 
25.506992, -27.650778, 443.928711, 1.678501, 580.948792 
-24.864098, -1.480536, 211.168350, 2.941050, 456.394226 
17.537514, 20.883022, 324.619202, 2.280291, 429.665222 
28.984358, 5.589314, -97.914703, 2.085298, 373.375488 
20.463158, -8.319396, -98.384834, 1.615162, 442.535126 
46.815384, 9.011553, -97.667244, 2.332759, 252.794754 
22.292891, -1.179013, -97.775742, 2.224256, 420.610840 
1.021515, -7.760654, -97.256401, 2.743604, 494.335571 
50.206192, 0.529405, -97.966362, 2.033644, 364.258698 
20.420938, -12.425291, -98.241219, 1.758782, 447.279755 
-24.282143, -5.265607, -97.158279, 2.841718, 575.647095 
-37.360634, -8.750216, -97.366844, 2.633150, 511.791382 
2.736522, 4.067997, -98.442276, 1.557720, 733.733704 
19.973564, 9.869453, -97.180664, 2.819342, 331.206390 
49.724407, 8.708890, -98.007576, 1.992421, 366.880249 
-2.740289, -3.470507, -97.030518, 2.969484, 392.844330 
35.638073, 5.638618, -97.512512, 2.487486, 559.626099 
36.052334, 5.761611, -97.674065, 2.325939, 538.617554 
40.417725, 2.817567, -98.091034, 1.908960, 508.056061 
18.507126, 6.239060, -97.183334, 2.816658, 444.924713 
36.646431, 7.911943, -98.497940, 1.502066, 444.214844 
11.137011, -5.811213, -97.240463, 2.759527, 478.696014 
49.912071, -8.469741, -97.869812, 2.130186, 368.751709 
24.867695, 6.583026, -98.528412, 1.471587, 565.659119 
35.884926, -22.344002, -98.443710, 1.556288, 438.860107 
-19.532055, -8.622525, -97.091553, 2.908450, 327.535736 
26.230019, 11.185179, -97.433815, 2.566180, 303.305115 
6.466808, -1.947676, -97.075478, 2.924523, 494.436707 
42.160843, 16.747013, -98.403137, 1.596859, 238.043259 
11.438909, 0.085107, -97.527580, 2.472416, 588.368958 
52.065350, 9.669041, -97.241867, 2.758136, 266.676544 
27.975212, -10.681627, -98.083931, 1.916071, 452.099731 
28.740273, 18.438248, -97.162300, 2.837697, 328.426483 
24.491278, 8.594906, -97.355331, 2.644664, 698.480835 
28.679996, 10.712383, -97.537605, 2.462388, 553.100647 
20.447956, 0.177000, -97.687340, 2.312666, 558.716858 
51.540394, 7.851715, -97.671036, 2.328971, 247.763596 
44.162792, 2.626303, -98.055634, 1.944363, 401.804840 
-5.462210, -5.281855, -98.494354, 1.505647, 669.256531 
40.862503, 2.561485, -97.650116, 2.349885, 300.156616 
20.245213, 7.515429, -97.090225, 2.909771, 574.887878 
62.072716, -5.941821, -98.152969, 1.847034, 210.803925 
33.086365, -4.369045, -97.657860, 2.342133, 241.749023 
0.388148, -3.490822, -97.115997, 2.884001, 485.352051 
1.764135, -6.659137, -97.200485, 2.799513, 472.636871 
13.829893, -2.375005, -98.079521, 1.920480, 697.326599 
-20.732708, -11.165366, -97.079079, 2.920927, 438.954041 
17.252247, 1.586087, -97.872711, 2.127285, 898.014526 
6.379923, -3.394124, -97.353882, 2.646112, 486.595490 
13.160683, -8.854427, -98.272598, 1.727409, 477.162109 
20.080788, 3.527481, -97.573860, 2.426135, 1160.007080 
15.316867, 10.410544, -97.477776, 2.522223, 341.573151 
40.899075, 1.465350, -97.871361, 2.128637, 227.085571 
-42.214455, -9.582830, -98.215424, 1.784572, 553.268494 
