Rotor: R3-18x120d doubleHelix(108), Hopper: H0, RPM: 3.858025, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 09-01-01
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 803.905640 
-3.604714, -62.837173, 396.850098, 1.547355, 678.299133 
-18.942234, -4.987396, 265.954956, 2.769362, 696.928711 
-45.357193, -48.314930, 163.223145, 1.844411, 794.045837 
-19.502159, -5.616748, 381.287476, 2.648389, 1227.258545 
-33.323200, -8.751280, -97.163406, 2.836595, 1780.983887 
-1.325980, -13.131455, -98.071472, 1.928533, 667.181396 
3.536860, -16.132952, -98.039085, 1.960916, 859.650085 
-6.687316, -9.895004, -98.000061, 1.999930, 638.330322 
-3.130311, -8.681780, -97.447037, 2.552959, 865.711304 
28.505590, -10.679804, -97.163658, 2.836340, 697.087891 
-30.118307, -7.834990, -98.406189, 1.593811, 687.526367 
17.392385, -6.840364, -97.713150, 2.286851, 958.386719 
3.804127, -8.277443, -97.553329, 2.446667, 637.295593 
-37.639145, 29.299520, -5.140990, 2.497977, 21004.500000 
32.881432, -1.991324, -98.556816, 1.443180, 676.035522 
-8.400455, -8.164365, -97.593887, 2.406116, 906.334839 
-42.008415, -10.895514, -97.312149, 2.687854, 627.696045 
42.243244, -6.145096, -98.251106, 1.748902, 815.315002 
30.728546, -8.619059, -97.953064, 2.046937, 673.164490 
-23.248400, -7.242934, -97.771324, 2.228674, 885.013367 
-21.760193, -6.963151, -97.610558, 2.389438, 969.982849 
39.787090, -11.969666, -97.949837, 2.050156, 775.073486 
11.535357, -7.808188, -97.079712, 2.920286, 814.991028 
-31.228668, -5.933164, -98.032570, 1.967428, 686.017395 
5.793898, -12.184752, -98.147125, 1.852873, 708.888550 
35.534290, -12.898581, -98.028130, 1.971874, 867.544373 
-42.869606, -11.217708, -98.515495, 1.484501, 586.078552 
-18.017120, -8.317590, -98.317474, 1.682524, 776.554688 
62.136837, 11.153903, -97.699997, 2.300000, 963.501953 
-34.444492, -12.220240, -97.798248, 2.201753, 871.671204 
-41.514313, -10.484488, -97.143509, 2.856496, 3055.272705 
38.582626, -16.947903, -98.404366, 1.595636, 672.312744 
23.840620, -7.914057, -98.120178, 1.879820, 603.384277 
17.891405, -3.332145, -98.090340, 1.909662, 601.965881 
11.936033, 0.387258, -97.397682, 2.602317, 778.483032 
-26.712055, -6.890487, -97.911850, 2.088148, 871.979431 
6.994720, -8.832964, -98.100433, 1.899572, 668.918335 
-20.370953, -12.347060, -97.974480, 2.025521, 861.722290 
-10.008228, -12.606843, -97.907913, 2.092083, 856.879944 
36.898636, -9.010159, -97.468231, 2.531768, 640.198120 
2.519457, -6.592455, -97.667328, 2.332666, 883.451355 
-13.675192, -9.319448, -98.214508, 1.785491, 589.619568 
17.275429, -9.879826, -97.383163, 2.616828, 614.758118 
6.250216, -0.237161, -97.023438, 2.976569, 792.944214 
-4.774488, -3.571951, -98.012764, 1.987233, 682.343018 
-10.069155, -12.837399, -97.187561, 2.812440, 786.262329 
7.581028, -5.953340, -98.452530, 1.547481, 838.714355 
-13.458197, -4.231614, -98.387299, 1.612705, 793.153503 
20.855799, -5.301326, -97.853729, 2.146265, 700.550476 
30.121523, -6.582280, -97.651222, 2.348778, 684.122009 
10.967915, -9.219642, -98.353043, 1.646959, 606.500549 
-42.042572, -3.432334, -97.371742, 2.628261, 793.306458 
-22.793240, -9.737720, -98.355835, 1.644160, 841.800598 
-8.094562, -7.934338, -97.408142, 2.591856, 648.723267 
-38.718441, -6.194185, -97.005508, 2.994497, 966.918884 
-15.931123, -12.741100, -97.227615, 2.772376, 697.583801 
16.439941, -2.238900, -97.360016, 2.639991, 782.380127 
33.398476, -6.648292, -97.100746, 2.899252, 709.029236 
-8.763275, -10.827785, -98.548233, 1.451761, 763.775208 
-25.450254, -5.541273, -97.640099, 2.359893, 674.999817 
31.498186, -9.862108, -97.671448, 2.328551, 704.810486 
33.709335, -6.456614, -97.950928, 2.049078, 711.127869 
32.766003, -11.218525, -97.599823, 2.400168, 680.327820 
26.042057, -12.754708, -97.107620, 2.892388, 873.097717 
10.160067, 0.150446, -97.352783, 2.647228, 797.203735 
-4.089415, -4.277748, -97.989403, 2.010602, 854.523804 
16.401575, -9.987463, -97.170685, 2.829312, 770.162476 
-37.597637, -11.953139, -97.130020, 2.869983, 883.503662 
-15.511468, -9.731165, -98.546906, 1.453102, 589.088440 
-16.736380, -8.024076, -97.172119, 2.827880, 615.956726 
18.750818, -10.619532, -97.208595, 2.791408, 597.912659 
2.189355, -1.620876, -97.545456, 2.454547, 713.089478 
26.437780, -6.181179, -97.630463, 2.369545, 862.731750 
-40.033722, -17.141212, -97.091965, 2.908037, 696.695496 
-17.213951, -9.957739, -97.413193, 2.586807, 620.750244 
-1.541072, -9.763633, -97.957443, 2.042557, 685.245605 
-41.733994, -9.734164, -97.738022, 2.261977, 658.477844 
-1.108265, -9.416389, -98.323158, 1.676842, 700.069580 
-31.651432, -10.753029, -98.309875, 1.690110, 672.109558 
-13.968124, -7.786897, -97.603157, 2.396848, 603.039795 
-42.651447, -1.846317, -98.266815, 1.733192, 794.510864 
-11.647540, -7.501746, -97.257301, 2.742706, 596.568604 
8.587788, -9.784553, -97.403542, 2.596461, 787.189026 
-15.328406, -11.411765, -97.854324, 2.145680, 585.731873 
-42.633530, -4.055681, -97.094955, 2.905043, 2709.093018 
28.023212, -4.557109, -98.528847, 1.471145, 691.970154 
-38.876816, -11.055410, -97.160110, 2.839884, 863.120056 
41.068470, -11.067648, -98.245270, 1.754729, 876.091553 
-22.812067, -21.176107, -98.468834, 1.531166, 758.939026 
1.012915, -6.227884, -97.178215, 2.821785, 695.381042 
43.415131, -7.625751, -97.853737, 2.146269, 615.194153 
-5.729640, -7.862178, -97.243805, 2.756197, 1215.703613 
-39.550735, 2.953218, -98.380241, 1.619757, 709.639526 
-42.261810, -9.540869, -98.510818, 1.489189, 583.711975 
-18.993246, 0.863172, -97.570213, 2.429784, 711.359985 
40.374035, -19.216015, -97.658119, 2.341886, 696.517944 
-33.663219, -11.403499, -97.253899, 2.746101, 871.140869 
-5.906839, -10.296262, -98.321503, 1.678501, 674.652222 
-32.727341, -3.288484, -97.058952, 2.941050, 707.255981 
10.409685, -9.688663, -97.719711, 2.280291, 644.220459 
7.926303, -14.341582, -97.914703, 2.085298, 764.123901 
45.414768, -8.874173, -98.384834, 1.615162, 760.947510 
-22.654900, -5.498984, -97.667236, 2.332759, 709.028564 
-16.096497, -12.131109, -97.775742, 2.224256, 870.208862 
-5.974461, -11.594262, -97.256386, 2.743604, 710.004883 
-44.652397, -0.474112, -97.966354, 2.033644, 628.885254 
27.102554, -7.755641, -98.241226, 1.758782, 672.021851 
-34.126778, -8.752416, -97.158287, 2.841718, 895.205139 
26.836681, -10.996710, -97.366844, 2.633150, 878.659851 
8.213420, -10.015446, -98.442284, 1.557720, 758.281982 
-43.593781, -3.917929, -97.180672, 2.819342, 629.882446 
-24.637457, -8.250848, -98.007584, 1.992421, 634.783203 
-33.859112, -5.899023, -97.030510, 2.969484, 702.370605 
13.312462, -7.686829, -97.512512, 2.487486, 617.271301 
37.391796, -5.827086, -97.674057, 2.325939, 886.755310 
-42.042664, -7.823675, -98.091042, 1.908960, 1016.535828 
22.693630, -7.626583, -97.183342, 2.816658, 703.762756 
-2.970621, -1.556389, -98.497932, 1.502066, 700.019287 
24.869850, -13.810875, -97.240471, 2.759527, 688.379272 
-24.453255, -15.669356, -97.869812, 2.130186, 773.867798 
43.038593, -9.547308, -98.528412, 1.471587, 593.605103 
10.089941, -9.364458, -98.443710, 1.556288, 789.540894 
-38.022141, -14.653552, -97.091537, 2.908450, 2350.887451 
-17.120386, -1.511449, -97.433823, 2.566180, 792.511841 
-13.484213, -9.684089, -97.075470, 2.924523, 617.323303 
-29.899212, 0.074324, -98.403145, 1.596859, 860.960999 
-8.456225, -15.745136, -97.527573, 2.472416, 680.902893 
16.307701, -9.234708, -97.241867, 2.758136, 646.976562 
15.925964, -4.819891, -98.083939, 1.916071, 604.769165 
-11.487240, -8.576680, -97.162300, 2.837697, 624.834290 
24.596302, -4.613337, -97.355347, 2.644664, 887.994324 
1.144716, -13.304130, -97.537613, 2.462388, 867.902893 
43.214275, -5.176198, -97.687332, 2.312666, 801.637573 
-16.969568, -5.773680, -97.671028, 2.328971, 608.631653 
-42.599815, -23.354122, -98.055641, 1.944363, 850.574646 
-5.478570, -10.928704, -98.494354, 1.505647, 778.861633 
-31.761608, -4.282588, -97.650116, 2.349885, 707.935303 
-45.403175, -7.075494, -97.090233, 2.909771, 2858.674316 
-10.018363, -8.285980, -98.152969, 1.847034, 597.827515 
-20.229912, -9.279167, -97.657867, 2.342133, 655.292297 
6.593447, -9.077906, -97.116005, 2.884001, 712.027405 
7.393713, -11.863356, -97.200485, 2.799513, 705.769653 
24.945246, 0.696338, -98.079514, 1.920480, 853.270813 
-5.221446, -1.935028, -97.079063, 2.920927, 703.635681 
41.082047, 3.423265, -97.872719, 2.127285, 869.422363 
42.092480, -10.337800, -97.353882, 2.646112, 699.966736 
-0.239916, -2.162515, -98.272583, 1.727409, 717.014221 
33.646889, -1.223716, -97.573860, 2.426135, 701.544556 
-29.886414, -8.711200, -97.477776, 2.522223, 698.083801 
4.083333, -9.799818, -97.871368, 2.128637, 749.336670 
32.480263, -5.049375, -98.215439, 1.784572, 695.173462 
7.196249, -11.380339, -97.692520, 2.307474, 602.752502 
43.132969, -6.236068, -97.305946, 2.694049, 976.149536 
25.005066, -20.044979, -97.465599, 2.534395, 960.039062 
-2.434094, -17.353024, -97.982895, 2.017112, 848.270081 
3.179802, -7.214022, -98.424576, 1.575426, 710.285156 
20.321962, -24.020182, -98.337173, 1.662833, 673.050903 
-31.560875, -4.658867, -98.360046, 1.639953, 874.612244 
2.068038, -4.574458, -97.277756, 2.722236, 709.172241 
-41.552013, -4.850277, -97.159683, 2.840323, 806.041016 
34.803085, 0.452779, -98.003098, 1.996914, 712.259583 
26.964119, -4.815228, -98.162819, 1.837181, 699.153564 
34.443764, -8.898970, -97.876198, 2.123802, 849.992371 
27.788898, -1.221915, -98.185356, 1.814641, 696.929932 
-11.698723, -13.557170, -97.919693, 2.080311, 950.417725 
-34.530025, -8.951564, -97.973587, 2.026411, 678.170288 
-3.999542, -6.525640, -97.148415, 2.851587, 877.045044 
-26.398884, -11.684189, -98.446136, 1.553866, 674.837280 
-48.192093, 0.239886, -97.844582, 2.155419, 1036.723633 
30.772671, -4.174328, -98.471054, 1.528943, 682.325256 
23.757786, -7.777925, -97.187668, 2.812334, 640.293884 
-32.824642, -13.435960, -97.648979, 2.351020, 625.061768 
1.321527, -11.539753, -98.336586, 1.663414, 686.267761 
-25.795296, -4.121492, -97.670158, 2.329843, 1057.935913 
31.684746, -15.597854, -97.465912, 2.534087, 871.061829 
22.065981, 3.587075, -97.106720, 2.893285, 951.596436 
45.023819, -5.608422, -97.595627, 2.404375, 798.597168 
2.400548, -6.881511, -97.891281, 2.108723, 864.240662 
-8.114208, -5.566982, -98.023148, 1.976848, 763.978394 
23.921610, -13.629598, -97.460609, 2.539385, 1039.079224 
17.044464, -19.205965, -98.116119, 1.883875, 682.646912 
50.649296, -2.522764, -98.284775, 1.715226, 794.254456 
-0.968982, 0.900992, -97.962593, 2.037410, 700.789795 
10.458571, -6.965466, -97.327126, 2.672868, 996.122681 
-9.530239, -11.309443, -97.728233, 2.271769, 884.829773 
28.394608, -5.386818, -97.709961, 2.290046, 677.109924 
-4.736303, -1.477140, -97.953407, 2.046595, 698.978699 
-16.024178, -7.275036, -97.113281, 2.886722, 783.105896 
-14.222703, -6.386392, -97.669998, 2.330002, 631.281982 
-32.645607, -12.194270, -97.788139, 2.211860, 806.303223 
41.239521, -7.757430, -98.353714, 1.646285, 953.693298 
2.013396, -10.424082, -98.000793, 1.999199, 1041.402588 
-27.169733, -19.306704, -97.201210, 2.798792, 3039.778809 
35.064293, -11.956885, -98.485229, 1.514773, 709.824768 
31.288979, -1.179692, -97.533096, 2.466905, 885.180603 
-33.236683, -7.269243, -97.473747, 2.526275, 680.527344 
-35.954681, -9.118441, -97.883362, 2.116640, 635.703552 
34.868393, -14.237572, -97.932526, 2.067472, 710.923401 
-19.385439, -15.889584, -98.161713, 1.838288, 946.572632 
45.764397, -13.977963, -98.356590, 1.643413, 944.965393 
42.388870, -7.734411, -98.111076, 1.888933, 599.514893 
-1.944436, -3.078008, -98.289734, 1.710264, 710.022278 
26.422125, -12.089614, -98.276535, 1.723464, 1018.051208 
-9.083499, -6.028174, -98.229256, 1.770745, 777.947266 
-21.485506, -11.733240, -98.490799, 1.509197, 972.989319 
-16.754725, -8.320868, -98.253510, 1.746489, 798.226624 
32.991932, -24.033430, -97.353516, 2.646483, 875.670105 
-33.519482, 0.376270, -98.475548, 1.524454, 685.543152 
9.601386, 1.517777, -98.413345, 1.586663, 866.630127 
9.246264, -16.765446, -97.784760, 2.215247, 695.186646 
-22.444763, -12.065508, -97.226166, 2.773829, 694.429565 
-1.722748, -6.636342, -97.556702, 2.443305, 729.196411 
-34.025291, -1.458668, -97.563179, 2.436814, 715.151062 
-3.902719, -2.318944, -98.476242, 1.523756, 702.709778 
-28.071587, 7.001020, -97.230576, 2.769431, 880.675110 
-6.504687, -5.493286, -97.201111, 2.798885, 770.384033 
-34.669590, -9.150359, -97.224129, 2.775871, 720.599792 
-12.475105, -9.350782, -98.183754, 1.816240, 592.598755 
46.364765, -4.915505, -97.977570, 2.022435, 941.561829 
6.809951, -14.165529, -98.359848, 1.640153, 943.397461 
-45.664646, -5.059226, -97.173660, 2.826335, 2183.020508 
12.084969, -2.787551, -97.668526, 2.331477, 792.191833 
-0.120663, -2.317947, -97.405952, 2.594048, 1581.145996 
-22.505989, -5.288314, -98.325813, 1.674188, 840.802795 
-30.410854, -10.825089, -98.294571, 1.705438, 674.233582 
-26.978939, -6.888463, -97.916595, 2.083394, 703.184326 
-30.346004, -18.211250, -97.102585, 2.897414, 3893.189697 
22.684128, -8.495918, -97.947937, 2.052058, 945.566772 
8.297917, -12.753048, -97.057678, 2.942326, 686.799561 
29.308933, -6.325743, -97.710884, 2.289115, 1075.866089 
5.828425, -9.713861, -98.434082, 1.565917, 861.904175 
21.555639, 1.501808, -97.774200, 2.225798, 1218.105957 
-1.422839, -12.697195, -97.174896, 2.825109, 1041.924561 
18.268801, -8.476214, -97.743065, 2.256931, 610.520874 
-44.849945, -8.018048, -98.273224, 1.726775, 765.908997 
37.294918, -12.381496, -98.376900, 1.623098, 853.334106 
-36.620125, -15.866145, -97.384430, 2.615566, 971.120789 
-19.822697, -7.670278, -97.287720, 2.712269, 996.270142 
-39.172161, -12.551249, -97.192398, 2.807602, 704.966431 
1.307980, -1.582917, -98.523438, 1.476564, 878.962097 
24.027637, -6.575976, -97.858864, 2.141134, 857.966431 
-28.698059, -11.830647, -97.916687, 2.083314, 669.141052 
-43.780716, -11.314816, -98.159431, 1.840569, 763.696838 
13.774688, -3.103221, -98.494431, 1.505574, 760.686951 
21.614607, -1.130054, -97.416389, 2.583610, 779.027893 
-15.949578, -15.638747, -98.147438, 1.852559, 759.409851 
-41.032852, -25.009718, 56.704041, 2.910816, 21062.738281 
12.243336, -13.104801, -97.929810, 2.070195, 944.248901 
-40.598206, 4.589151, -98.037018, 1.962991, 808.873962 
-44.493195, -10.375621, -97.114342, 2.885651, 784.634521 
-34.489906, -5.476436, -97.053284, 2.946716, 719.185425 
27.478859, -6.646250, -98.448967, 1.551028, 861.411133 
-31.525791, -25.610687, -98.094193, 1.905805, 769.625183 
-18.501987, -3.831702, -97.561829, 2.438172, 795.747131 
19.754692, -14.280027, -98.328537, 1.671465, 757.765991 
-39.125671, -19.021877, -97.327248, 2.672747, 683.264648 
-1.337762, -5.492701, -97.409477, 2.590530, 689.060913 
-14.713874, -9.369235, -97.372513, 2.627491, 672.437866 
20.160675, -6.187424, -98.337257, 1.662736, 939.629150 
-34.817055, -0.352974, -98.553909, 1.446093, 886.735291 
8.536603, -6.338188, -97.219444, 2.780565, 977.622131 
33.565392, -2.044143, -98.156998, 1.843003, 687.066711 
1.650805, -9.007496, -98.188934, 1.811066, 691.569885 
29.773865, -9.420685, -97.425629, 2.574377, 758.394226 
31.751831, -17.084593, -97.687943, 2.312060, 854.511169 
-0.981405, -3.422064, -98.014801, 1.985199, 879.397095 
-9.889339, -4.575319, -97.802773, 2.197224, 795.236511 
-10.373507, -8.857794, -98.318298, 1.681703, 798.058105 
-42.695316, -16.378862, -97.204811, 2.795186, 4943.218262 
21.177715, -5.252151, -97.760818, 2.239187, 955.051575 
2.219077, -5.322394, -98.263954, 1.736049, 682.937195 
-1.244280, -0.770700, -97.515907, 2.484092, 706.029358 
24.527077, -8.021935, -97.394012, 2.605995, 734.265076 
10.483101, -8.546677, -97.479050, 2.520955, 974.771667 
46.891136, -6.633070, -97.872215, 2.127784, 980.854248 
8.850833, -9.207679, -97.799248, 2.200752, 766.817444 
-9.890120, -0.917613, -98.300079, 1.699923, 882.212280 
