Rotor: R3-18x120d doubleHelix(108), Hopper: H1 bumper, RPM: 3.858025, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 09-51-06
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 795.849854 
-3.604714, -62.837173, 396.850098, 1.547355, 876.784668 
-18.942234, -4.987396, 265.954956, 2.769362, 695.177795 
-45.357193, -48.314930, 163.223145, 1.844411, 783.791687 
-19.502159, -5.616748, 381.287476, 2.648389, 875.465027 
-17.254185, -5.881051, -97.163406, 2.836595, 944.697510 
15.915443, -5.334901, -98.071472, 1.928533, 780.771851 
-0.534211, -2.574730, -98.039085, 1.960916, 875.745605 
-11.775038, -9.324406, -98.000069, 1.999930, 788.829163 
-32.543167, -8.400212, -97.447037, 2.552959, 1911.208374 
29.595749, -2.029027, -97.163666, 2.836340, 701.263733 
-33.810787, -14.388369, -98.406181, 1.593811, 677.459595 
11.303632, 0.710919, -97.713150, 2.286851, 966.849487 
-30.653261, -23.796043, 53.020828, 2.446667, 21004.250000 
9.302281, -3.566299, -97.502029, 2.497977, 783.106934 
13.391285, -4.946537, -98.556824, 1.443180, 797.282471 
5.403677, -4.298601, -97.593887, 2.406116, 863.844055 
-36.891243, -8.632738, -97.312149, 2.687854, 806.822571 
41.614143, -2.613595, -98.251099, 1.748902, 825.124084 
27.307121, -9.369966, -97.953056, 2.046937, 751.245239 
-26.084856, -3.871751, -97.771332, 2.228674, 884.007324 
-35.173893, -7.356340, -97.610565, 2.389438, 908.694641 
44.779839, -11.157581, -97.949844, 2.050156, 772.209167 
11.921360, -8.111923, -97.079704, 2.920286, 778.507507 
-27.248619, -8.789169, -98.032570, 1.967428, 707.778687 
-0.998679, -11.528339, -98.147141, 1.852873, 671.652954 
24.323542, -14.197921, -98.028122, 1.971874, 856.572632 
-30.893360, -4.871692, -98.515503, 1.484501, 688.520142 
-14.839594, -11.575536, -98.317474, 1.682524, 788.780823 
22.305489, -12.338556, -97.699997, 2.300000, 723.209717 
-28.603695, -0.373543, -97.798241, 2.201753, 873.362671 
43.902451, -7.657272, -97.143509, 2.856496, 786.815247 
47.295403, -7.002882, -98.404358, 1.595636, 759.198547 
6.360419, -8.976638, -98.120178, 1.879820, 1152.639526 
0.156628, -5.316810, -98.090340, 1.909662, 883.490601 
18.263712, 4.323911, -97.397690, 2.602317, 796.347778 
-26.054195, -6.622272, -97.911850, 2.088148, 856.057312 
-4.768123, -9.892313, -98.100433, 1.899572, 859.760071 
-33.811935, -4.607214, -97.974480, 2.025521, 845.144775 
1.188223, -10.351119, -97.907913, 2.092083, 888.218506 
-40.735092, -21.861904, 56.136742, 2.531768, 21010.998047 
-1.336314, -9.270144, -97.667328, 2.332666, 699.760437 
-1.184677, -8.724517, -98.214508, 1.785491, 683.192322 
25.135296, -5.103653, -97.383179, 2.616828, 864.220032 
-43.265934, -26.249943, 60.041794, 2.976569, 21011.998047 
-1.385399, -9.962568, -98.012764, 1.987233, 680.346558 
-30.234186, -9.528161, -97.187561, 2.812440, 697.856140 
-15.238583, -12.316161, -98.452515, 1.547481, 748.799316 
-27.004152, -12.874228, -98.387299, 1.612705, 664.256165 
32.786190, -3.843399, -97.853729, 2.146265, 705.245056 
24.503857, -9.386498, -97.651230, 2.348778, 699.417969 
0.647235, 4.862864, -98.353035, 1.646959, 1031.070679 
-40.616207, -1.947343, -97.371742, 2.628261, 786.943665 
-21.435638, -17.256233, -98.355850, 1.644160, 850.236023 
13.202203, -7.144089, -97.408142, 2.591856, 1144.034180 
-29.194939, -6.130872, -97.005501, 2.994497, 1157.982300 
-2.327408, -8.883727, -97.227623, 2.772376, 743.169861 
14.904957, -7.729499, -97.360016, 2.639991, 788.812073 
29.990200, -6.801349, -97.100746, 2.899252, 695.700195 
-28.287476, -10.849784, -98.548241, 1.451761, 671.895752 
-45.749657, -3.334995, -97.640106, 2.359893, 810.081604 
29.750244, -5.692486, -97.671440, 2.328551, 703.200500 
1.597939, -11.597366, -97.950912, 2.049078, 669.651367 
40.283607, -7.547716, -97.599838, 2.400168, 792.694153 
25.060709, -9.721331, -97.107613, 2.892388, 872.955566 
18.252808, -2.203810, -97.352768, 2.647228, 793.879028 
4.144511, 0.054548, -97.989395, 2.010602, 879.798584 
-44.010395, -24.137903, 55.300697, 2.829312, 21017.746094 
1.834881, -8.732218, -97.130020, 2.869983, 702.305115 
0.017496, -10.627967, -98.546898, 1.453102, 672.890259 
-42.525051, -5.598385, -97.172119, 2.827880, 792.532410 
