Rotor: R3-18x120d doubleHelix(108), Hopper: H1 bumper4s, RPM: 3.858025, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 11-31-06
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 887.562256 
-3.604714, -62.837173, 396.850098, 1.547355, 812.058533 
-18.942234, -4.987396, 265.954956, 2.769362, 783.787354 
-45.357193, -48.314930, 163.223145, 1.844411, 968.634399 
-19.502159, -5.616748, 381.287476, 2.648389, 730.663513 
-12.546672, -3.121613, -97.163406, 2.836595, 793.582886 
-30.281483, -6.512050, -98.071465, 1.928533, 695.777710 
14.239836, -8.149720, -98.039085, 1.960916, 796.271362 
-12.503299, 0.507264, -98.000076, 1.999930, 796.959106 
-38.327038, -7.411797, -97.447037, 2.552959, 983.080200 
27.123777, -9.185181, -97.163651, 2.836340, 701.695984 
-5.819746, -6.882949, -98.406189, 1.593811, 923.022827 
2.476349, -9.571294, -97.713135, 2.286851, 867.547424 
-4.101880, -9.496372, -97.553329, 2.446667, 706.505493 
22.169983, -11.893642, -97.502022, 2.497977, 874.097595 
7.525403, -0.923913, -98.556816, 1.443180, 793.652222 
29.165855, -4.569345, -97.593887, 2.406116, 892.219727 
-11.962698, -30.822153, 82.108482, 2.687854, 21005.250000 
29.971844, -5.580380, -98.251099, 1.748902, 893.877441 
11.635744, -9.085552, -97.953064, 2.046937, 781.105164 
-16.350452, -3.103197, -97.771317, 2.228674, 989.129883 
-8.871238, -8.708986, -97.610558, 2.389438, 791.516663 
29.540218, -8.168875, -97.949844, 2.050156, 875.407043 
15.620024, -2.698771, -97.079712, 2.920286, 787.931335 
-39.182571, -9.592968, -98.032570, 1.967428, 827.983398 
-2.654621, -3.750274, -98.147133, 1.852873, 879.361267 
23.429724, -11.952548, -98.028130, 1.971874, 892.217773 
-28.921835, -5.823528, -98.515511, 1.484501, 690.002930 
-18.799992, -9.727827, -98.317467, 1.682524, 792.840881 
26.069412, -9.588692, -97.700005, 2.300000, 731.977051 
-36.470734, -2.713509, -97.798248, 2.201753, 889.509827 
25.934082, -7.913111, -97.143501, 2.856496, 793.841492 
40.800652, -6.546994, -98.404366, 1.595636, 786.356812 
-6.275426, -28.548128, 62.093861, 1.879820, 21009.248047 
-9.922999, -7.169967, -98.090347, 1.909662, 795.246277 
43.545387, -8.638456, -97.397690, 2.602317, 2351.416016 
-13.420590, -7.049316, -97.911858, 2.088148, 794.968140 
-6.756390, -7.437995, -98.100433, 1.899572, 1093.834839 
-26.278772, -13.335139, -97.974480, 2.025521, 871.048584 
-27.682447, -5.727318, -97.907921, 2.092083, 871.048157 
42.545193, -7.444964, -97.468239, 2.531768, 794.422668 
-26.447678, -5.287217, -97.667343, 2.332666, 693.719238 
1.185075, -8.430068, -98.214508, 1.785491, 679.959106 
19.216978, 0.058279, -97.383171, 2.616828, 803.120361 
-0.227704, -6.282376, -97.023438, 2.976569, 877.138733 
-7.863800, -10.297721, -98.012764, 1.987233, 793.757446 
-26.515509, -10.344572, -97.187561, 2.812440, 887.578796 
-30.566187, -6.726535, -98.452515, 1.547481, 684.630615 
22.659649, -4.414475, -98.387299, 1.612705, 794.139221 
21.626896, -9.348866, -97.853729, 2.146265, 725.715637 
41.173973, -7.071991, -97.651222, 2.348778, 823.943176 
-7.987591, -4.653586, -98.353043, 1.646959, 784.115356 
-48.687191, -2.294368, -97.371742, 2.628261, 1470.812500 
-24.339718, -8.715964, -98.355835, 1.644160, 883.179810 
-44.981216, -5.251133, -97.408142, 2.591856, 799.244873 
-32.401123, -8.236745, -97.005501, 2.994497, 1207.523926 
30.299372, -8.464631, -97.227631, 2.772376, 691.290222 
26.883060, -5.412748, -97.360001, 2.639991, 896.998169 
36.879990, -22.843813, 104.546371, 2.899252, 21015.498047 
-16.943727, -5.293999, -98.548241, 1.451761, 795.583862 
-40.115856, 17.527855, 81.328758, 2.359893, 21015.996094 
26.026386, -9.015784, -97.671440, 2.328551, 709.175293 
19.729252, -9.554163, -97.950920, 2.049078, 774.804626 
35.066242, -3.054576, -97.599838, 2.400168, 897.518799 
14.040260, -7.514128, -97.107620, 2.892388, 792.072937 
15.031296, -3.893089, -97.352768, 2.647228, 797.348389 
0.951129, -2.789026, -97.989388, 2.010602, 886.243225 
31.666801, 0.058903, -97.170685, 2.829312, 1067.530518 
20.676208, -8.395189, -97.130020, 2.869983, 1321.537964 
28.379185, -6.233048, -98.546898, 1.453102, 694.014587 
