Rotor: R4-9x120d slicesx(126), Hopper: H0100, RPM: 3.306878, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 13-34-59
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1869.867310 
-3.604714, -62.837173, 396.850098, 1.547355, 1662.691650 
-18.942234, -4.987396, 265.954956, 2.769362, 2180.080078 
-45.357193, -48.314930, 163.223145, 1.844411, 21001.750000 
-19.502159, -5.616748, 381.287476, 2.648389, 1080.842529 
-40.170467, -4.320066, -97.163406, 2.836595, 4905.904785 
-18.463631, 3.214206, -98.071465, 1.928533, 5185.385742 
25.088854, 18.672081, -98.039085, 1.960916, 1603.651367 
-11.619115, 3.149125, -98.000061, 1.999930, 1175.132446 
-14.576164, 15.510516, -97.447037, 2.552959, 1381.092529 
12.136976, 16.856142, -97.163658, 2.836340, 1427.710205 
4.093914, -21.580500, 26.768295, 1.593811, 21003.750000 
-41.992393, 0.890825, -97.713150, 2.286851, 2639.476807 
-0.115304, 23.855474, -24.424419, 2.446667, 21004.250000 
19.924231, 9.996248, -97.502022, 2.497977, 1189.539551 
25.430355, 8.046889, -98.556824, 1.443180, 1680.241211 
14.751688, -0.345371, -97.593887, 2.406116, 4623.456055 
-43.838966, 11.691263, -97.312149, 2.687854, 1136.723389 
29.249006, 2.285324, 29.210066, 1.748902, 21005.500000 
5.580634, 7.772763, -97.953064, 2.046937, 1608.932373 
-39.569214, 10.280606, -97.771324, 2.228674, 3513.575684 
-43.941582, 7.072574, -97.610565, 2.389438, 1260.219849 
-55.081169, 5.578789, -97.949844, 2.050156, 1606.708862 
5.102008, 12.171733, -97.079712, 2.920286, 1435.112671 
-20.335447, 14.785530, -98.032570, 1.967428, 3050.510742 
-18.120186, 7.673048, -98.147125, 1.852873, 1959.922363 
4.472922, -1.682012, 27.060659, 1.971874, 21007.498047 
-21.015398, -19.617319, 17.732285, 1.484501, 21007.748047 
-20.815229, -22.388187, 21.298395, 1.682524, 21007.998047 
-41.714035, -22.107071, 37.263710, 2.300000, 21008.248047 
-26.514475, -23.735285, 49.520187, 2.201753, 21008.498047 
39.605637, 13.946458, -97.143509, 2.856496, 1176.489746 
-7.778717, 10.733275, -98.404373, 1.595636, 1189.447754 
4.454993, 16.653481, -98.120178, 1.879820, 4920.800293 
-26.333584, -1.380839, -98.090347, 1.909662, 1472.198975 
10.323885, 10.170299, -97.397675, 2.602317, 1194.544312 
-38.879234, 4.702538, -97.911858, 2.088148, 1472.548706 
-7.649833, 7.322353, -98.100433, 1.899572, 1277.700317 
3.897138, 30.322081, -97.974472, 2.025521, 3672.437988 
-35.310127, 5.565597, -97.907913, 2.092083, 2068.135010 
14.147001, 11.973219, -97.468239, 2.531768, 1830.981445 
7.784423, -14.732368, 51.415867, 2.332666, 21011.248047 
-23.756617, 16.977835, -98.214508, 1.785491, 4843.944336 
36.978519, 21.533165, -97.383171, 2.616828, 4881.675293 
-4.170222, 1.496698, -97.023438, 2.976569, 1723.838867 
-42.012768, -23.733591, -25.190088, 1.987233, 21012.248047 
-34.491882, 5.543400, -97.187561, 2.812440, 2506.103027 
-4.235879, 0.000589, -98.452530, 1.547481, 1157.841919 
