Rotor: R5-9x120d slices(97)dia, Hopper: H2-bumper-diffuser 15d grav, RPM: 4.295533, Dose: 100.000000, Logger_Version: 0.5, Time: 09_25_2020, 09-32-50
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 705.425171 
-3.604714, -62.837173, 396.850098, 1.547355, 926.437561 
-18.942234, -4.987396, 265.954956, 2.769362, 674.736450 
-45.357193, -48.314930, 163.223145, 1.844411, 623.562988 
-19.502159, -5.616748, 381.287476, 2.648389, 954.634338 
12.457077, -2.790336, -97.163406, 2.836595, 859.228149 
-21.747190, -5.309409, -98.071457, 1.928533, 663.652893 
-39.513882, -10.801960, -98.039078, 1.960916, 800.902588 
-53.130642, -7.060521, -98.000076, 1.999930, 659.785950 
-44.558937, -5.354696, -97.447052, 2.552959, 822.689331 
-49.944954, -6.354722, -97.163658, 2.836340, 679.608032 
-16.804398, -6.515815, -98.406189, 1.593811, 643.326294 
-21.376331, -1.878912, -97.713150, 2.286851, 831.294678 
-55.745449, -7.994127, -97.553337, 2.446667, 766.131897 
-50.157402, 15.822406, -97.502029, 2.497977, 1502.424805 
-55.553322, -1.621664, -98.556824, 1.443180, 719.144226 
-47.883324, -7.535737, -97.593887, 2.406116, 1132.852783 
-44.720276, -3.176510, -97.312149, 2.687854, 674.118896 
-33.953644, -6.663177, -98.251099, 1.748902, 2504.933594 
-7.340937, -3.919205, -97.953064, 2.046937, 623.130676 
-29.417414, -7.677020, -97.771339, 2.228674, 863.205383 
-50.663582, -5.444347, -97.610565, 2.389438, 834.231018 
-31.208218, -5.494747, -97.949852, 2.050156, 960.720703 
-46.244907, 0.353086, -97.079712, 2.920286, 3473.456787 
-63.834965, -8.627539, -98.032570, 1.967428, 618.752808 
-21.847765, -2.073268, -98.147133, 1.852873, 694.067993 
-53.679626, -10.717924, -98.028130, 1.971874, 793.570679 
-10.996649, -0.300987, -98.515503, 1.484501, 633.714844 
-56.427303, -9.485092, -98.317474, 1.682524, 1010.740417 
-0.339985, -4.881428, -97.699997, 2.300000, 868.066589 
-48.879829, 4.196491, -97.798248, 2.201753, 656.446655 
-49.368862, 1.891139, -97.143501, 2.856496, 624.066223 
-6.114443, -9.476523, -98.404366, 1.595636, 541.002197 
-45.204430, -4.674340, -98.120178, 1.879820, 610.886353 
-25.822046, 0.835374, -98.090340, 1.909662, 604.007507 
-48.820480, -4.118133, -97.397690, 2.602317, 662.802917 
-38.029911, 5.394441, -97.911858, 2.088148, 606.049194 
-20.078686, -3.910809, -98.100426, 1.899572, 631.570984 
-52.796833, -3.244964, -97.974472, 2.025521, 799.290588 
2.842466, -7.512036, -97.907921, 2.092083, 692.945435 
-12.212458, -3.589034, -97.468231, 2.531768, 999.195190 
-44.550323, -0.738511, -97.667328, 2.332666, 805.617859 
-47.796623, -2.549580, -98.214508, 1.785491, 651.764160 
-40.679489, -1.984776, -97.383163, 2.616828, 649.699951 
-52.511505, -6.976965, -97.023438, 2.976569, 1170.239624 
-51.219635, 6.095295, -98.012772, 1.987233, 1091.420410 
-46.958641, -5.411084, -97.187561, 2.812440, 697.921265 
-38.734692, -2.959703, -98.452522, 1.547481, 601.310059 
0.793961, -7.026538, -98.387299, 1.612705, 857.181274 
-35.401081, 7.387822, -97.853729, 2.146265, 630.395874 
-43.746300, -6.473965, -97.651230, 2.348778, 644.583008 
-46.139462, -6.509713, -98.353043, 1.646959, 608.706055 
-55.256428, -5.920494, -97.371750, 2.628261, 1168.517944 
-49.727989, -8.619694, -98.355835, 1.644160, 660.381042 
-47.724773, -11.118502, -97.408142, 2.591856, 1582.848267 
-22.770834, -5.874649, -97.005508, 2.994497, 726.180176 
-25.582655, -5.529593, -97.227615, 2.772376, 871.710327 
-47.826813, -27.635193, 71.007271, 2.639991, 21015.248047 
-22.272989, -6.154689, -97.100739, 2.899252, 860.910706 
-35.153183, -20.230587, -98.548248, 1.451761, 1388.394287 
-48.969421, -6.315768, -97.640106, 2.359893, 980.955688 
-51.068481, -8.364802, -97.671455, 2.328551, 808.506958 
-31.380871, -0.519757, -97.950920, 2.049078, 613.598694 
-54.051529, -4.084905, -97.599838, 2.400168, 654.568176 
-42.398643, -3.092947, -97.107613, 2.892388, 637.725952 
-33.999554, -8.843485, -97.352776, 2.647228, 1187.015259 
-37.358868, -2.839086, -97.989403, 2.010602, 621.141907 
-51.350525, -4.124005, -97.170692, 2.829312, 858.492798 
-48.632587, -1.147732, -97.130013, 2.869983, 683.747864 
-50.476597, -13.357254, -98.546890, 1.453102, 790.794556 
-23.165302, -5.994882, -97.172127, 2.827880, 999.460205 
-28.528389, -6.032914, -97.208595, 2.791408, 1009.278320 
-44.680878, 9.006859, -97.545456, 2.454547, 652.410522 
-43.093468, -9.074495, -97.630447, 2.369545, 1320.648193 
-40.028206, -3.884404, -97.091965, 2.908037, 640.102173 
5.970716, -0.123958, -97.413185, 2.586807, 708.518127 
-44.751747, 0.864402, -97.957443, 2.042557, 1575.749146 
-52.208035, 0.962890, -97.738022, 2.261977, 1192.436646 
-22.590191, -4.170510, -98.323166, 1.676842, 842.188660 
-3.574367, -4.312165, -98.309883, 1.690110, 725.394531 
-37.272873, -11.349752, -97.603149, 2.396848, 786.435730 
-22.649242, -22.641937, -98.266808, 1.733192, 610.110535 
-36.204254, -8.171015, -97.257294, 2.742706, 1262.247559 
-53.191040, -3.813368, -97.403549, 2.596461, 1604.241089 
5.157690, -10.735623, -97.854317, 2.145680, 666.077820 
-50.726711, 5.385620, -97.094955, 2.905043, 3524.204590 
-45.557297, -15.192555, -98.528854, 1.471145, 1230.114380 
-50.910759, -6.400365, -97.160126, 2.839884, 1026.665405 
-26.112734, 1.995622, -98.245270, 1.754729, 793.031433 
-40.011158, 2.945315, -98.468826, 1.531166, 760.002136 
-44.938354, -2.375029, -97.178223, 2.821785, 654.242004 
-51.264450, -4.446591, -97.853737, 2.146269, 665.970337 
-4.772863, -2.388489, -97.243797, 2.756197, 897.938843 
-9.021858, -11.309013, -98.380249, 1.619757, 732.480591 
-19.783882, -8.709471, -98.510811, 1.489189, 635.011353 
-36.330704, -6.144974, -97.570221, 2.429784, 717.994812 
-42.787880, -7.209657, -97.658112, 2.341886, 1575.690186 
-26.817909, 2.607152, -97.253891, 2.746101, 639.251953 
-19.555302, -8.097529, -98.321503, 1.678501, 635.692322 
-38.612198, -4.639001, -97.058952, 2.941050, 819.422302 
-16.083719, -4.679595, -97.719711, 2.280291, 638.130188 
-38.569534, 3.462365, -97.914703, 2.085298, 786.291565 
-24.264288, -9.546482, -98.384834, 1.615162, 602.600464 
-36.446999, 4.061418, -97.667236, 2.332759, 1123.114990 
-12.709044, 4.100149, -97.775742, 2.224256, 824.172119 
-39.429596, -9.135612, -97.256393, 2.743604, 802.373352 
-45.117165, -0.744223, -97.966354, 2.033644, 646.034729 
-26.884876, -6.320635, -98.241211, 1.758782, 648.217834 
-43.519825, -20.158262, -97.158279, 2.841718, 630.360413 
-19.927589, 0.995091, -97.366852, 2.633150, 1147.966553 
-35.473629, 4.726789, -98.442284, 1.557720, 630.980713 
21.428579, -6.740261, -97.180672, 2.819342, 2934.543213 
-38.607803, -14.855839, -98.007584, 1.992421, 777.375366 
-45.498238, 7.180827, -97.030525, 2.969484, 981.522339 
-46.241230, -3.220719, -97.512512, 2.487486, 815.343201 
-42.750397, -3.076930, -97.674057, 2.325939, 648.060120 
-31.905258, 1.840011, -98.091034, 1.908960, 611.390442 
-29.026243, 6.285373, -97.183342, 2.816658, 1010.906860 
-38.699089, -3.665380, -98.497940, 1.502066, 774.838928 
-20.219921, -1.593436, -97.240479, 2.759527, 821.547974 
-47.391685, -3.120211, -97.869812, 2.130186, 783.742065 
-32.440891, 3.603683, -98.528412, 1.471587, 586.789856 
-47.108780, 1.241071, -98.443718, 1.556288, 1261.490112 
16.883726, -6.709803, -97.091553, 2.908450, 5136.228027 
-44.695686, -7.836117, -97.433823, 2.566180, 1603.312134 
-48.175461, -5.301245, -97.075462, 2.924523, 819.515381 
-5.262662, -7.007678, -98.403137, 1.596859, 631.875916 
-38.980011, -2.546794, -97.527588, 2.472416, 802.286743 
-42.430862, -4.169562, -97.241859, 2.758136, 793.052429 
-34.263397, 1.679511, -98.083923, 1.916071, 597.099243 
-54.406593, -11.982570, -97.162300, 2.837697, 635.484680 
-42.881702, -22.889442, 51.394695, 2.644664, 21033.744141 
-40.292328, -0.230352, -97.537613, 2.462388, 1137.616943 
-55.278259, -1.583639, -97.687332, 2.312666, 811.666321 
-57.373253, -7.528383, -97.671036, 2.328971, 1360.482666 
-40.374763, -6.515465, -98.055641, 1.944363, 779.373962 
-48.807549, 1.270148, -98.494354, 1.505647, 924.757202 
-20.049803, -20.133089, -97.650116, 2.349885, 665.153625 
-47.065102, -7.889642, -97.090225, 2.909771, 648.078979 
-15.696268, -2.099500, -98.152962, 1.847034, 655.619141 
-45.282677, -9.226661, -97.657867, 2.342133, 696.577698 
-43.440456, -23.611986, 52.861126, 2.884001, 21036.242188 
-15.948729, -1.714916, -97.200485, 2.799513, 842.278870 
-48.594627, -7.889861, -98.079514, 1.920480, 1731.475098 
-41.150475, -8.053312, -97.079079, 2.920927, 1125.561523 
-44.890747, -4.650666, -97.872711, 2.127285, 795.209167 
-11.518407, -8.064439, -97.353889, 2.646112, 822.023865 
-31.196770, -11.222534, -98.272598, 1.727409, 945.622559 
-37.420506, 6.448424, -97.573860, 2.426135, 959.639709 
16.673298, -0.530895, -97.477776, 2.522223, 827.588013 
-38.334560, 0.265595, -97.871376, 2.128637, 791.576965 
-47.853821, -7.301694, -98.215439, 1.784572, 664.235046 
-45.207996, -1.735989, -97.692535, 2.307474, 960.038269 
-39.746044, -5.930132, -97.305946, 2.694049, 1445.344971 
-14.347136, -4.209986, -97.465607, 2.534395, 651.894409 
-47.091061, -5.076016, -97.982887, 2.017112, 1106.934937 
-46.389645, -10.177006, -98.424568, 1.575426, 599.808777 
-21.715626, -3.467444, -98.337166, 1.662833, 647.948547 
-20.742435, -7.603243, -98.360046, 1.639953, 657.577148 
-52.244068, 0.192259, -97.277771, 2.722236, 1606.512085 
-49.314453, -7.280466, -97.159683, 2.840323, 1449.940674 
-28.771688, -7.196160, -98.003090, 1.996914, 968.875488 
-43.399208, -8.970949, -98.162827, 1.837181, 645.175659 
-42.813362, -1.485838, -97.876205, 2.123802, 1110.081909 
-34.850101, -4.078760, -98.185349, 1.814641, 617.782166 
-12.278240, -11.364623, -97.919693, 2.080311, 647.957947 
-43.887489, -6.624273, -97.973587, 2.026411, 1269.584351 
-43.799423, -21.428070, 55.047321, 2.851587, 21042.742188 
-38.021839, -12.518351, -98.446136, 1.553866, 646.864380 
-17.989697, -10.433321, -97.844582, 2.155419, 815.085388 
-57.471622, -6.335250, -98.471062, 1.528943, 894.606445 
-53.828480, -6.077555, -97.187660, 2.812334, 1601.308350 
-49.911949, -6.135622, -97.648987, 2.351020, 965.970093 
-56.416618, -9.294223, -98.336586, 1.663414, 829.590332 
-44.150566, -2.033614, -97.670151, 2.329843, 1112.174561 
-49.005970, 1.232477, -97.465912, 2.534087, 978.078308 
-19.662766, -4.420739, -97.106720, 2.893285, 679.073669 
-36.867619, 2.252150, -97.595627, 2.404375, 644.551270 
-50.217583, -5.944829, -97.891273, 2.108723, 789.478027 
-17.397232, -0.180667, -98.023148, 1.976848, 641.069092 
-48.345543, 2.306168, -97.460602, 2.539385, 1741.179932 
-28.644123, -9.236196, -98.116127, 1.883875, 627.859924 
-36.878788, -7.738636, -98.284775, 1.715226, 1083.980469 
-48.412148, -1.121934, -97.962585, 2.037410, 650.218384 
-12.189111, 0.918884, -97.327133, 2.672868, 994.455261 
-48.005630, -2.128951, -97.728233, 2.271769, 797.850525 
-35.853180, 1.520670, -97.709953, 2.290046, 1111.538086 
-38.387699, -1.057821, -97.953400, 2.046595, 619.922791 
-40.048943, 6.500272, -97.113281, 2.886722, 811.275574 
-39.211472, -5.777327, -97.670006, 2.330002, 790.445374 
-14.450516, -6.782861, -97.788139, 2.211860, 833.694641 
-46.820511, -3.089381, -98.353714, 1.646285, 768.039307 
11.528158, -0.091022, -98.000793, 1.999199, 852.820190 
-42.297501, -2.420414, -97.201202, 2.798792, 825.159790 
-43.653095, -4.789657, -98.485229, 1.514773, 777.808594 
3.864698, -4.745952, -97.533089, 2.466905, 856.394043 
-49.590218, -4.838546, -97.473717, 2.526275, 1749.596558 
-6.405027, -7.024501, -97.883362, 2.116640, 723.678406 
-44.464035, -5.569220, -97.932533, 2.067472, 668.399292 
10.897066, -0.261827, -98.161713, 1.838288, 811.297607 
-58.723465, -2.037427, -98.356583, 1.643413, 945.048035 
-37.778313, -16.750689, -98.111069, 1.888933, 638.192627 
-40.426968, 2.385521, -98.289726, 1.710264, 1246.141968 
-44.326767, -0.766212, -98.276543, 1.723464, 775.239990 
-11.560436, -6.019443, -98.229248, 1.770745, 888.752136 
-30.727112, -4.819758, -98.490807, 1.509197, 844.048889 
-33.419273, -3.180979, -98.253517, 1.746489, 593.638367 
-49.744286, -8.368730, -97.353516, 2.646483, 1581.431519 
-43.217567, 6.104047, -98.475548, 1.524454, 626.065857 
-43.443703, 5.417884, -98.413330, 1.586663, 787.083374 
-18.142735, -8.002136, -97.784752, 2.215247, 654.046082 
-6.439880, -8.044142, -97.226166, 2.773829, 690.224121 
-48.258949, -4.710914, -97.556702, 2.443305, 1104.638794 
-41.106606, -4.693743, -97.563187, 2.436814, 1102.793823 
11.637018, -10.200849, -98.476250, 1.523756, 861.056091 
-44.171482, -7.457361, -97.230568, 2.769431, 687.505676 
-48.144180, -24.362391, 64.141922, 2.798885, 21054.988281 
-54.526367, -4.374416, -97.224136, 2.775871, 1631.792480 
-0.191919, -6.196962, -98.183762, 1.816240, 701.846191 
-49.762554, -11.317077, -97.977554, 2.022435, 805.586365 
-26.305332, 2.555389, -98.359840, 1.640153, 746.530518 
3.801272, -9.194326, -97.173676, 2.826335, 768.363403 
-40.524658, 2.439837, -97.668518, 2.331477, 782.388062 
5.286126, 3.542813, -97.405952, 2.594048, 692.020386 
-45.310890, -4.701813, -98.325813, 1.674188, 797.125488 
-51.237259, 0.641824, -98.294556, 1.705438, 1270.275513 
-6.736662, -4.114193, -97.916603, 2.083394, 778.997498 
-46.037689, -10.009566, -97.102585, 2.897414, 839.527954 
-14.842384, 1.766431, -97.947937, 2.052058, 645.736877 
-28.487778, -4.170826, -97.057678, 2.942326, 740.252991 
-48.517967, 0.667755, -97.710876, 2.289115, 779.909058 
-31.452009, -6.178476, -98.434082, 1.565917, 641.244873 
-46.985962, -5.772790, -97.774208, 2.225798, 1115.589355 
-27.293856, -7.820269, -97.174896, 2.825109, 1013.911926 
-25.699350, 26.979002, -97.743073, 2.256931, 722.368835 
-44.829933, 1.801251, -98.273224, 1.726775, 935.790649 
-48.291595, 0.791608, -98.376907, 1.623098, 1389.323242 
5.798779, -5.745350, -97.384430, 2.615566, 672.700928 
-54.595016, -3.606596, -97.287735, 2.712269, 3344.120850 
16.432716, -8.511116, 34.837044, 2.807602, 21060.738281 
-54.871986, -9.122548, -98.523438, 1.476564, 786.987488 
-24.356445, -4.658229, -97.858871, 2.141134, 699.137817 
-34.926895, 4.345072, -97.916679, 2.083314, 1105.059937 
