Rotor: R5-9x120d slices(97)dia, Hopper: H2-bumper-diffuser, RPM: 4.295533, Dose: 100.000000, Logger_Version: 0.5, Time: 09_24_2020, 16-52-27
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 7034.639648 
-9.730989, 0.792805, -98.452652, 1.547355, 6264.213379 
-5.256256, -9.135695, -97.230644, 2.769362, 6738.758301 
-29.599518, -2.566860, -98.155594, 1.844411, 5999.581543 
-15.859002, -9.349422, -97.351608, 2.648389, 5462.344727 
-30.830566, -5.476726, -97.163406, 2.836595, 6309.658203 
-7.463601, 0.929828, -98.071465, 1.928533, 9536.214844 
-14.486791, -8.688229, -98.039093, 1.960916, 6399.271484 
-3.536625, -9.540015, -98.000069, 1.999930, 6756.691895 
28.109976, 1.352742, -97.447037, 2.552959, 6627.801270 
41.283623, -0.249646, -97.163658, 2.836340, 5637.099609 
19.925482, -2.351530, -98.406189, 1.593811, 4796.369629 
-27.709953, -4.036461, -97.713150, 2.286851, 6074.802246 
-4.411755, -4.059014, -97.553337, 2.446667, 7946.809082 
30.373798, -8.344790, -97.502022, 2.497977, 7584.264648 
12.506961, -7.255183, -98.556824, 1.443180, 6406.932129 
-30.972839, -3.172338, -97.593887, 2.406116, 6286.839355 
-30.189051, -7.720727, -97.312149, 2.687854, 6469.108398 
20.775833, 0.319031, -98.251099, 1.748902, 4754.363281 
37.265102, -6.089979, -97.953064, 2.046937, 6989.603516 
-2.900280, -8.036185, -97.771324, 2.228674, 4961.120605 
-23.893826, -7.766922, -97.610565, 2.389438, 6194.875977 
28.506094, -5.499914, -97.949844, 2.050156, 10054.906250 
9.010341, -6.285723, -97.079720, 2.920286, 7177.085449 
-35.884392, 0.229390, -98.032570, 1.967428, 6029.333496 
11.418938, -5.349217, -98.147125, 1.852873, 7850.327637 
14.896874, -8.947617, -98.028122, 1.971874, 5275.237793 
-15.946488, -2.508901, -98.515495, 1.484501, 6209.803711 
-10.167059, -6.639195, -98.317482, 1.682524, 4626.657715 
-27.580353, -3.901689, -97.699997, 2.300000, 6196.298828 
2.521296, -1.236385, -97.798248, 2.201753, 6387.229004 
16.684776, -3.167295, -97.143501, 2.856496, 8675.129883 
-12.507001, -3.524580, -98.404366, 1.595636, 6275.505371 
-5.980439, 6.635225, -98.120178, 1.879820, 6312.176270 
-0.822622, -6.650626, -98.090332, 1.909662, 4629.165527 
23.796749, -5.169609, -97.397675, 2.602317, 4945.242676 
-19.826702, 1.698952, -97.911850, 2.088148, 6029.501465 
0.170908, 1.628877, -98.100426, 1.899572, 7891.006836 
25.011253, -5.430445, -97.974487, 2.025521, 6571.328125 
-17.716846, -1.934030, -97.907928, 2.092083, 6045.295410 
45.866596, -6.517183, -97.468239, 2.531768, 7023.114746 
-16.016476, 9.212568, -97.667328, 2.332666, 6021.479980 
-4.487355, -0.359559, -98.214508, 1.785491, 4537.571289 
5.125973, -9.369684, -97.383179, 2.616828, 7416.035645 
20.158396, -4.160110, -97.023438, 2.976569, 7031.051270 
33.905483, -1.828272, -98.012772, 1.987233, 5255.334473 
24.285206, -8.515974, -97.187561, 2.812440, 7018.151367 
6.931564, -1.061312, -98.452522, 1.547481, 7776.157715 
