Rotor: R6a-9x120d 3 slices(106), Hopper: H2-bumper-diffuser, RPM: 3.930818, Dose: 100.000000, Logger_Version: 0.5, Time: 09_25_2020, 11-13-19
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 778.300842 
-3.604714, -62.837173, 396.850098, 1.547355, 932.554565 
-18.942234, -4.987396, 265.954956, 2.769362, 1441.352051 
-45.357193, -48.314930, 163.223145, 1.844411, 657.663635 
-19.502159, -5.616748, 381.287476, 2.648389, 737.154907 
16.275188, -5.549501, -97.163406, 2.836595, 791.101746 
22.773132, -7.297706, -98.071472, 1.928533, 762.126892 
8.751277, -13.217339, -98.039085, 1.960916, 703.396179 
-5.896713, 7.866853, -98.000076, 1.999930, 869.378174 
-25.023800, -2.403541, -97.447052, 2.552959, 700.827087 
16.312544, -2.600654, -97.163658, 2.836340, 761.128662 
-9.367537, -7.649294, -98.406189, 1.593811, 729.289734 
15.999218, 3.007114, -97.713142, 2.286851, 753.709534 
18.770138, -2.441648, -97.553329, 2.446667, 935.231323 
37.001862, -11.101920, -97.502014, 2.497977, 1143.470093 
7.221049, -4.500888, -98.556824, 1.443180, 767.853760 
-27.041462, -3.387100, -97.593880, 2.406116, 686.736328 
-39.782795, -1.085839, -97.312141, 2.687854, 691.959229 
35.008045, -6.639091, -98.251099, 1.748902, 790.223145 
41.519558, -4.035003, -97.953064, 2.046937, 780.619568 
-27.507746, 2.626351, -97.771324, 2.228674, 680.362915 
-37.770893, -9.606592, -97.610565, 2.389438, 793.321838 
41.562622, -0.677332, -97.949844, 2.050156, 794.612183 
25.926273, -9.074049, -97.079712, 2.920286, 759.018738 
-36.714577, -7.162329, -98.032570, 1.967428, 673.254761 
-12.579831, -1.561276, -98.147125, 1.852873, 686.571594 
40.387230, -0.125365, -98.028122, 1.971874, 789.048767 
-19.636431, 1.478691, -98.515503, 1.484501, 643.088501 
3.818274, -16.333805, -98.317482, 1.682524, 685.024841 
10.902683, -0.163030, -97.699997, 2.300000, 743.441467 
-33.295139, -0.421924, -97.798248, 2.201753, 1011.921021 
5.884382, -5.857180, -97.143501, 2.856496, 1154.448120 
-33.136009, -8.898808, -98.404373, 1.595636, 834.589355 
15.345756, 2.718637, -98.120178, 1.879820, 934.374268 
