Rotor: R6b-9x120d 2 slices(113), Hopper: H2-bumper-diffuser, RPM: 3.687316, Dose: 100.000000, Logger_Version: 0.5, Time: 09_25_2020, 11-49-25
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 853.658752 
-3.604714, -62.837173, 396.850098, 1.547355, 1188.440430 
-18.942234, -4.987396, 265.954956, 2.769362, 1274.902466 
-45.357193, -48.314930, 163.223145, 1.844411, 623.962769 
-19.502159, -5.616748, 381.287476, 2.648389, 1069.289062 
-33.838253, -6.302061, -97.163406, 2.836595, 2215.106689 
8.541254, 0.584059, -98.071465, 1.928533, 811.062744 
14.525759, -0.790227, -98.039093, 1.960916, 635.692322 
14.867327, -10.210964, -98.000069, 1.999930, 818.763000 
-29.714783, -10.153412, -97.447044, 2.552959, 660.787781 
36.176735, -9.153402, -97.163673, 2.836340, 738.484924 
8.829744, -5.001013, -98.406189, 1.593811, 810.051636 
17.894558, -0.560143, -97.713150, 2.286851, 841.355408 
5.224412, -5.773000, -97.553337, 2.446667, 1050.134644 
26.824099, -7.900251, -97.502022, 2.497977, 1270.495239 
41.104958, -4.483113, -98.556824, 1.443180, 616.962585 
-21.557266, -4.751578, -97.593880, 2.406116, 651.060120 
-19.416611, -7.486097, -97.312149, 2.687854, 698.725464 
42.312092, -10.194030, -98.251099, 1.748902, 914.715088 
35.342247, -4.541032, -97.953064, 2.046937, 831.539551 
-32.542847, -7.397443, -97.771332, 2.228674, 715.184937 
-14.142008, -4.701475, -97.610550, 2.389438, 639.206360 
37.781414, -1.963401, -97.949844, 2.050156, 843.539001 
-3.100851, -6.171928, -97.079720, 2.920286, 1294.734985 
-8.188569, -1.001727, -98.032578, 1.967428, 613.570251 
3.082242, -4.025262, -98.147125, 1.852873, 804.797852 
41.699478, 2.179878, -98.028130, 1.971874, 842.622070 
-2.506109, 0.970208, -98.515503, 1.484501, 602.536987 
5.270992, -6.254544, -98.317474, 1.682524, 659.508423 
10.547019, -4.240503, -97.699997, 2.300000, 1027.495483 
-35.715611, -4.617119, -97.798248, 2.201753, 1103.960938 
-36.909950, -7.169151, -97.143509, 2.856496, 1308.800171 
-6.918984, 3.965500, -98.404373, 1.595636, 826.506592 
3.113008, 1.300387, -98.120178, 1.879820, 1003.418091 
36.398174, -3.707726, -98.090340, 1.909662, 801.442078 
11.641592, -5.819438, -97.397675, 2.602317, 644.677368 
-21.429867, -2.927834, -97.911850, 2.088148, 701.701172 
-27.879604, 6.762659, -98.100426, 1.899572, 818.035767 
-22.184158, -3.448306, -97.974472, 2.025521, 1011.656860 
51.334755, -6.396432, -97.907928, 2.092083, 1038.049072 
40.448944, -10.838714, -97.468231, 2.531768, 1062.897461 
-17.694805, 0.650269, -97.667336, 2.332666, 654.975037 
-15.913892, -0.732832, -98.214508, 1.785491, 653.241028 
42.783924, -9.148451, -97.383163, 2.616828, 731.636169 
-40.999714, -7.089674, -97.023438, 2.976569, 2252.013428 
-21.854046, -11.514274, -98.012764, 1.987233, 639.333008 
-16.655270, -7.340534, -97.187561, 2.812440, 719.042175 
13.918093, 10.180094, -98.452522, 1.547481, 1180.602661 
2.392417, -27.869446, -98.387299, 1.612705, 811.589966 
41.126595, -5.167716, -97.853729, 2.146265, 652.750854 
40.293480, -3.156846, -97.651230, 2.348778, 850.101929 
23.335529, 3.262553, -98.353043, 1.646959, 612.811279 
15.839685, -6.833353, -97.371742, 2.628261, 668.657104 
-24.157120, -3.226811, -98.355843, 1.644160, 1046.191406 
39.113483, -5.440217, -97.408142, 2.591856, 870.203552 
-25.451811, -7.093163, -97.005493, 2.994497, 699.580200 
39.693359, -8.015676, -97.227631, 2.772376, 650.710449 
42.913883, -0.351319, -97.360008, 2.639991, 1422.088989 
46.819942, 6.077704, -97.100746, 2.899252, 871.806091 
16.876171, -3.294950, -98.548225, 1.451761, 611.716125 
-17.546268, -4.992065, -97.640106, 2.359893, 680.306580 
35.473804, -3.781132, -97.671448, 2.328551, 861.375732 
34.416100, 1.032827, -97.950920, 2.049078, 816.251465 
