Rotor: R7c-9x120d 1 slices(116), Hopper: H2-bumper-diffuser, RPM: 3.591954, Dose: 100.000000, Logger_Version: 0.5, Time: 10_01_2020, 08-58-27
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 1091.806152 
-3.604714, -62.837173, 396.850098, 1.547355, 888.809570 
-18.942234, -4.987396, 265.954956, 2.769362, 1013.023987 
-45.357193, -48.314930, 163.223145, 1.844411, 539.575439 
-19.502159, -5.616748, 381.287476, 2.648389, 1610.097656 
-16.997387, -4.791900, -97.163406, 2.836595, 4019.764648 
-32.811501, -8.218331, -98.071465, 1.928533, 1317.234619 
19.077190, -9.651638, -98.039078, 1.960916, 604.512939 
-14.012501, -6.694221, -98.000076, 1.999930, 1025.373291 
-9.636934, -7.086904, -97.447037, 2.552959, 651.750732 
22.499804, -1.061677, -97.163658, 2.836340, 775.508423 
28.452991, -8.274823, -98.406189, 1.593811, 555.900452 
37.177116, 7.874267, -97.713150, 2.286851, 690.414246 
-4.174650, -6.852451, -97.553337, 2.446667, 854.964417 
34.814381, -1.360270, -97.502022, 2.497977, 1298.854004 
33.968788, 0.195137, -98.556824, 1.443180, 891.563782 
4.399839, -4.906960, -97.593880, 2.406116, 588.903809 
-0.527344, -7.084274, -97.312149, 2.687854, 638.049255 
54.553467, -9.345625, -98.251099, 1.748902, 883.726379 
47.445030, -1.136628, -97.953064, 2.046937, 872.723022 
1.288471, -3.868212, -97.771332, 2.228674, 575.614380 
-5.448327, 2.485613, -97.610565, 2.389438, 797.542053 
41.883045, -12.897593, -97.949844, 2.050156, 862.311951 
48.605171, 4.368510, -97.079712, 2.920286, 694.763855 
-5.410659, -4.770340, -98.032570, 1.967428, 588.480164 
7.850142, 13.186628, -98.147125, 1.852873, 2452.948730 
34.142632, -7.997315, -98.028122, 1.971874, 888.696533 
5.393833, -10.094945, -98.515488, 1.484501, 498.278107 
39.365505, -8.482323, -98.317482, 1.682524, 518.256470 
38.284504, -5.448852, -97.699997, 2.300000, 679.852722 
-6.513540, -2.228767, -97.798248, 2.201753, 969.661316 
-15.795151, -7.210640, -97.143501, 2.856496, 1570.788208 
-7.295419, -3.146839, -98.404366, 1.595636, 765.368591 
48.560074, -4.695004, -98.120186, 1.879820, 871.787170 
40.681950, 0.823116, -98.090332, 1.909662, 697.898254 
8.181549, -7.156706, -97.397675, 2.602317, 767.333313 
-8.341819, 0.727860, -97.911850, 2.088148, 1933.003540 
4.419053, -3.148519, -98.100418, 1.899572, 934.798401 
41.680996, 9.129554, -97.974472, 2.025521, 685.291626 
26.413326, -4.014225, -97.907913, 2.092083, 870.648010 
-11.026698, 3.336249, -97.468231, 2.531768, 1365.609497 
