Rotor: R7d-9x120d 4 slices(115), Hopper: H2-bumper-diffuser, RPM: 3.623188, Dose: 100.000000, Logger_Version: 0.5, Time: 10_01_2020, 11-53-13
x, y, z, size, die_time 
79.230530, 61.772430, 248.074509, 2.439106, 864.239441 
-3.604714, -62.837173, 396.850098, 1.547355, 1090.121826 
-18.942234, -4.987396, 265.954956, 2.769362, 978.015930 
-45.357193, -48.314930, 163.223145, 1.844411, 706.478943 
-19.502159, -5.616748, 381.287476, 2.648389, 891.784180 
1.072550, -1.592458, -97.163406, 2.836595, 954.223694 
16.430605, -0.314034, -98.071465, 1.928533, 876.168274 
-1.968975, -6.935142, -98.039078, 1.960916, 738.820740 
14.802591, -1.867380, -98.000076, 1.999930, 675.916504 
-31.814251, -6.600922, -97.447037, 2.552959, 739.640747 
36.518345, 11.399170, -97.163666, 2.836340, 785.521973 
30.303345, 6.686056, -98.406189, 1.593811, 858.983398 
22.134966, -3.901617, -97.713150, 2.286851, 792.059814 
24.215263, -2.985772, -97.553329, 2.446667, 790.180420 
23.974630, -6.079499, -97.502022, 2.497977, 1516.967285 
38.098251, -5.174790, -98.556824, 1.443180, 680.646606 
-21.180450, -6.579548, -97.593887, 2.406116, 704.600769 
-41.311981, -8.051449, -97.312149, 2.687854, 831.250305 
42.401646, 0.330185, -98.251091, 1.748902, 846.497681 
46.888054, -10.479829, -97.953064, 2.046937, 874.938782 
-24.015207, -6.380630, -97.771324, 2.228674, 742.360107 
-33.621376, -10.699489, -97.610558, 2.389438, 733.081787 
42.598091, 3.443384, -97.949844, 2.050156, 859.864136 
30.721886, 1.642592, -97.079712, 2.920286, 990.326111 
-34.935028, -7.407174, -98.032578, 1.967428, 726.877441 
29.027374, -4.521669, -98.147125, 1.852873, 955.192749 
39.708195, -4.527199, -98.028130, 1.971874, 854.777405 
-22.920038, -8.576213, -98.515488, 1.484501, 665.901672 
2.650042, -9.185492, -98.317474, 1.682524, 696.582397 
8.044254, -4.155453, -97.700005, 2.300000, 798.985291 
-18.553787, -0.229530, -97.798248, 2.201753, 1460.787720 
-37.116909, -9.139470, -97.143509, 2.856496, 1046.991699 
-17.028267, 0.811663, -98.404366, 1.595636, 909.797180 
11.251233, 1.508371, -98.120186, 1.879820, 1094.905884 
10.600416, 2.515136, -98.090332, 1.909662, 858.868958 
14.964479, 1.125365, -97.397682, 2.602317, 696.079529 
-40.748730, -4.555161, -97.911850, 2.088148, 969.720947 
4.337278, -13.234179, -98.100418, 1.899572, 799.798035 
8.933728, -5.562304, -97.974472, 2.025521, 851.399841 
33.664959, -5.905032, -97.907913, 2.092083, 1045.792847 
34.005806, -6.154113, -97.468231, 2.531768, 911.077576 
-22.817327, -1.926792, -97.667328, 2.332666, 736.620483 
-42.208397, -9.702152, -98.214508, 1.785491, 800.259949 
10.079701, -6.139098, -97.383179, 2.616828, 937.532166 
-15.903221, -8.062826, -97.023438, 2.976569, 1217.723267 
-18.690027, -9.352951, -98.012772, 1.987233, 649.755981 
-13.459557, -4.259372, -97.187561, 2.812440, 803.566406 
4.983163, 1.663910, -98.452515, 1.547481, 1291.747681 
-22.727928, -1.964015, -98.387291, 1.612705, 884.973145 
42.084717, -9.668817, -97.853722, 2.146265, 668.062134 
39.405857, -14.737875, -97.651222, 2.348778, 1050.920532 
-3.757601, -5.289143, -98.353043, 1.646959, 753.392578 
-3.085692, 3.455072, -97.371750, 2.628261, 1019.701294 
-39.854759, -12.109952, -98.355835, 1.644160, 932.293823 
-22.320244, 0.753926, -97.408142, 2.591856, 1495.992798 
-38.025085, -6.690042, -97.005508, 2.994497, 765.458191 
40.515125, -7.433343, -97.227631, 2.772376, 670.219238 
35.307747, -7.929040, -97.360016, 2.639991, 1613.016602 
43.098667, -6.216275, -97.100746, 2.899252, 919.543762 
13.563004, -8.847226, -98.548233, 1.451761, 617.878967 
-27.440231, -5.319640, -97.640106, 2.359893, 721.349182 
43.357254, 2.238255, -97.671448, 2.328551, 875.083130 
22.514460, -1.400276, -97.950912, 2.049078, 951.807129 
41.149712, 0.016192, -97.599838, 2.400168, 870.887207 
-29.270405, -6.079618, -97.107613, 2.892388, 932.470337 
6.783262, -2.906008, -97.352768, 2.647228, 898.128418 
19.997383, -7.959452, -97.989403, 2.010602, 1059.257324 
-36.200737, -6.550165, -97.170692, 2.829312, 1549.632446 
-4.718834, 4.278492, -97.130020, 2.869983, 827.073120 
-25.427999, -5.489016, -98.546898, 1.453102, 884.359375 
25.771517, -5.237246, -97.172119, 2.827880, 809.179260 
24.502216, -4.926508, -97.208595, 2.791408, 779.040955 
8.796176, 0.959733, -97.545456, 2.454547, 1093.372192 
-10.061963, -9.559919, -97.630455, 2.369545, 1253.775879 
31.853546, 1.118949, -97.091957, 2.908037, 765.922668 
2.350335, 4.619436, -97.413193, 2.586807, 811.823730 
8.153749, -4.191787, -97.957443, 2.042557, 1440.323975 
-38.195747, -6.600792, -97.738022, 2.261977, 959.886230 
43.856850, -8.631000, -98.323158, 1.676842, 637.692749 
-9.605650, 4.427332, -98.309891, 1.690110, 696.742859 
-22.075060, -3.609582, -97.603149, 2.396848, 743.140320 
-7.800003, -8.658053, -98.266815, 1.733192, 575.849731 
-35.874645, -9.251724, -97.257294, 2.742706, 833.977234 
-10.573217, -9.404133, -97.403542, 2.596461, 891.306091 
-34.212681, -8.623031, -97.854317, 2.145680, 947.178467 
-38.599094, -24.009047, 64.063881, 2.905043, 21022.246094 
38.083797, -3.990831, -98.528854, 1.471145, 858.295288 
9.929097, 1.141863, -97.160118, 2.839884, 910.055725 
26.233938, -8.760334, -98.245277, 1.754729, 827.498962 
0.126421, -5.593903, -98.468834, 1.531166, 876.915527 
1.996511, -2.456743, -97.178215, 2.821785, 1085.947510 
41.301609, -2.639541, -97.853729, 2.146269, 851.480652 
-41.238380, -8.175479, -97.243805, 2.756197, 1936.717041 
32.690258, -10.463435, -98.380241, 1.619757, 702.739197 
-15.891886, -1.879117, -98.510818, 1.489189, 834.522766 
-24.826004, -3.805748, -97.570213, 2.429784, 914.119690 
19.981144, -6.947868, -97.658119, 2.341886, 1042.270142 
-32.825886, -8.501514, -97.253899, 2.746101, 944.971252 
23.698133, -3.322186, -98.321503, 1.678501, 769.015259 
-24.333776, -23.408173, 63.171677, 2.941050, 21025.744141 
29.704079, -0.184012, -97.719696, 2.280291, 796.150940 
10.260529, -0.628437, -97.914703, 2.085298, 911.467834 
39.748962, -1.579160, -98.384842, 1.615162, 673.684692 
-22.018944, 0.052750, -97.667244, 2.332759, 733.752747 
-6.537191, -0.888231, -97.775742, 2.224256, 805.778748 
8.306713, -0.247917, -97.256401, 2.743604, 792.403625 
-26.156319, -10.101145, -97.966354, 2.033644, 1089.448730 
44.223660, 1.387695, -98.241211, 1.758782, 852.372437 
-34.270733, -9.153616, -97.158295, 2.841718, 1385.880371 
23.753532, 0.099398, -97.366852, 2.633150, 780.862610 
26.071775, -3.213281, -98.442276, 1.557720, 906.970764 
-22.738979, 1.298382, -97.180656, 2.819342, 1319.230957 
-25.739052, -2.020950, -98.007584, 1.992421, 745.642944 
-23.810970, -4.519465, -97.030510, 2.969484, 718.181335 
39.467045, -5.566220, -97.512512, 2.487486, 1053.314331 
-26.844591, -1.971001, -97.674072, 2.325939, 1102.915771 
-3.446694, 3.093858, -98.091042, 1.908960, 800.070923 
-41.253811, -21.884830, 60.336590, 2.816658, 21030.244141 
27.885668, -9.544609, -98.497932, 1.502066, 962.326111 
37.177761, -0.806270, -97.240471, 2.759527, 665.143616 
8.218211, 2.811594, -97.869812, 2.130186, 792.148621 
46.436523, 4.278188, -98.528404, 1.471587, 825.995117 
54.015686, -22.194731, -98.443710, 1.556288, 1005.838684 
11.091650, 0.378455, -97.091560, 2.908450, 896.194885 
-12.107118, -5.382938, -97.433823, 2.566180, 1035.746948 
65.537865, 4.029767, -97.075470, 2.924523, 761.020630 
4.336123, -4.886735, -98.403137, 1.596859, 691.273743 
-29.222572, -2.515836, -97.527580, 2.472416, 1101.280396 
-0.865087, -8.982895, -97.241875, 2.758136, 809.974182 
36.118507, -8.454676, -98.083923, 1.916071, 818.348633 
-11.002474, -3.436558, -97.162308, 2.837697, 856.405640 
16.076612, 2.382489, -97.355339, 2.644664, 1361.900757 
13.751879, 3.731876, -97.537613, 2.462388, 849.784058 
26.425777, -7.722816, -97.687332, 2.312666, 1072.875244 
-25.555077, -6.526269, -97.671036, 2.328971, 982.255676 
-26.989582, -3.105147, -98.055641, 1.944363, 733.894531 
-11.607037, -5.143570, -98.494354, 1.505647, 841.679932 
-16.718100, -3.670444, -97.650124, 2.349885, 700.622925 
39.404305, -6.913891, -97.090225, 2.909771, 772.144714 
-19.035809, 7.236022, -98.152969, 1.847034, 913.244446 
25.764208, 1.915560, -97.657860, 2.342133, 971.553040 
-40.719589, -5.662953, -97.115997, 2.884001, 2102.047119 
34.258247, -5.542089, -97.200493, 2.799513, 786.879089 
49.033253, -14.616329, -98.079521, 1.920480, 1016.949646 
-36.263321, -8.603198, -97.079079, 2.920927, 1744.074219 
35.630962, -3.565892, -97.872719, 2.127285, 830.006409 
40.321640, -3.681698, -97.353882, 2.646112, 867.470764 
13.079584, -4.153316, -98.272591, 1.727409, 861.400391 
46.998035, 0.381002, -97.573868, 2.426135, 942.113647 
-34.545723, -7.329916, -97.477798, 2.522223, 2068.649414 
-3.039199, -0.210595, -97.871368, 2.128637, 1012.074951 
39.426170, -4.076290, -98.215431, 1.784572, 1012.713867 
26.113068, -5.157327, -97.692528, 2.307474, 788.739807 
44.554611, 9.068907, -97.305954, 2.694049, 928.274658 
23.746929, -5.642289, -97.465607, 2.534395, 1169.104980 
7.886532, -5.506622, -97.982895, 2.017112, 723.329285 
29.452564, -3.804237, -98.424576, 1.575426, 656.378906 
10.491547, -2.656539, -98.337173, 1.662833, 870.873230 
-20.629051, -8.431800, -98.360046, 1.639953, 866.643005 
-26.091131, -7.678495, -97.277756, 2.722236, 844.781677 
14.058102, -8.093565, -97.159668, 2.840323, 867.670593 
19.579723, -0.620088, -98.003082, 1.996914, 861.870789 
43.856979, -5.520337, -98.162827, 1.837181, 813.298950 
38.022816, -8.241881, -97.876190, 2.123802, 853.469482 
14.465370, 1.159993, -98.185349, 1.814641, 668.884216 
-4.149645, -1.674380, -97.919685, 2.080311, 985.406372 
16.882999, -6.006547, -97.973587, 2.026411, 690.372498 
-26.427135, -2.979447, -97.148415, 2.851587, 943.162476 
-16.487658, -5.071208, -98.446129, 1.553866, 1112.467773 
-28.121510, 0.167930, -97.844589, 2.155419, 1664.698486 
14.839893, -5.758964, -98.471062, 1.528943, 1018.664368 
20.900883, 0.063293, -97.187668, 2.812334, 987.720825 
6.802784, -3.684351, -97.648979, 2.351020, 659.340942 
21.866455, -0.929197, -98.336578, 1.663414, 783.266113 
-9.271942, -1.209132, -97.670166, 2.329843, 693.167847 
11.598389, 1.712128, -97.465912, 2.534087, 759.345642 
30.308472, 4.758708, -97.106712, 2.893285, 980.500488 
36.429371, -2.831560, -97.595627, 2.404375, 860.974060 
47.288834, -6.069417, -97.891273, 2.108723, 1030.939941 
-20.456652, -3.346881, -98.023163, 1.976848, 737.866089 
35.071316, 0.353851, -97.460617, 2.539385, 1062.330811 
22.362185, -7.783118, -98.116135, 1.883875, 767.772034 
28.430153, -2.965280, -98.284775, 1.715226, 966.457703 
9.556108, -7.636290, -97.962601, 2.037410, 716.241089 
24.078249, -0.286226, -97.327133, 2.672868, 791.780640 
19.834345, 1.189888, -97.728226, 2.271769, 1063.820068 
22.866545, -4.082757, -97.709961, 2.290046, 808.124084 
1.764063, -0.953648, -97.953400, 2.046595, 678.332031 
9.071988, -7.727547, -97.113281, 2.886722, 738.593018 
-30.964094, -3.222826, -97.669991, 2.330002, 1666.554443 
-22.492701, -2.365481, -97.788139, 2.211860, 916.445801 
4.841153, -3.055285, -98.353714, 1.646285, 865.202881 
16.238970, 4.019848, -98.000801, 1.999199, 881.386353 
-34.423653, -3.806033, -97.201202, 2.798792, 1706.820923 
40.894073, -7.297413, -98.485229, 1.514773, 639.644409 
13.016594, -4.340240, -97.533096, 2.466905, 692.791809 
23.089848, 6.650887, -97.473724, 2.526275, 865.679688 
-22.564362, -3.690359, -97.883362, 2.116640, 727.980347 
41.469761, -7.653338, -97.932526, 2.067472, 831.931946 
23.337971, -4.148217, -98.161713, 1.838288, 777.232300 
42.356544, -10.125656, -98.356590, 1.643413, 705.756226 
33.009796, 5.550889, -98.111069, 1.888933, 772.209900 
24.560118, -6.536227, -98.289734, 1.710264, 955.534302 
44.109596, -1.369959, -98.276527, 1.723464, 831.648560 
-7.062452, 1.510120, -98.229248, 1.770745, 1333.718262 
-28.435362, -1.524506, -98.490807, 1.509197, 1391.329102 
-32.520355, -0.567075, -98.253510, 1.746489, 1105.454712 
-26.427677, -6.840908, -97.353516, 2.646483, 1721.275635 
-6.622237, 4.614357, -98.475548, 1.524454, 1007.978699 
28.046597, -8.877964, -98.413345, 1.586663, 731.235046 
16.451805, -6.102351, -97.784760, 2.215247, 663.256592 
-42.172958, -5.719678, -97.226173, 2.773829, 1334.104614 
-34.023468, -4.312016, -97.556686, 2.443305, 1324.237061 
-30.149822, 0.382637, -97.563187, 2.436814, 909.583740 
18.756876, -2.369661, -98.476242, 1.523756, 661.664734 
25.775900, 2.636648, -97.230568, 2.769431, 788.916077 
4.027765, 4.843987, -97.201118, 2.798885, 1284.590942 
7.524313, -8.243401, -97.224121, 2.775871, 1092.253418 
16.656013, -5.677933, -98.183762, 1.816240, 677.121826 
32.146339, -3.945235, -97.977562, 2.022435, 1452.519165 
7.158781, -0.133129, -98.359848, 1.640153, 1061.322144 
-39.235786, -8.537046, -97.173660, 2.826335, 1527.990356 
27.802399, -3.355044, -97.668518, 2.331477, 1140.014648 
-33.999886, -0.905908, -97.405945, 2.594048, 1686.259766 
12.134590, 6.336737, -98.325806, 1.674188, 1245.375977 
-15.838491, -5.869493, -98.294563, 1.705438, 1020.930420 
-31.026588, -0.195764, -97.916611, 2.083394, 773.110413 
14.265445, -3.714993, -97.102585, 2.897414, 827.788025 
20.733749, -3.444161, -97.947952, 2.052058, 958.231628 
25.505232, -6.884788, -97.057671, 2.942326, 872.332520 
31.604744, -2.481913, -97.710892, 2.289115, 1089.510620 
28.525185, -4.424816, -98.434082, 1.565917, 666.796204 
24.959885, -2.738889, -97.774200, 2.225798, 1886.701538 
-12.337941, -3.000595, -97.174889, 2.825109, 1019.294312 
33.660679, -1.067220, -97.743065, 2.256931, 994.263000 
-29.601143, -3.044854, -98.273232, 1.726775, 1126.585327 
44.434464, 0.931489, -98.376907, 1.623098, 804.748108 
-22.753330, 0.793808, -97.384438, 2.615566, 724.242615 
-15.770225, -8.855476, -97.287735, 2.712269, 892.760376 
-6.934885, -4.901200, -97.192398, 2.807602, 1020.541931 
2.520892, -6.859999, -98.523438, 1.476564, 910.316162 
38.281799, -0.153307, -97.858864, 2.141134, 1099.505615 
-14.725603, -2.657298, -97.916687, 2.083314, 835.101746 
-12.831621, -0.269645, -98.159431, 1.840569, 827.144592 
45.004776, 7.896179, -98.494415, 1.505574, 836.275513 
22.648224, -8.854235, -97.416389, 2.583610, 774.511169 
-16.988850, 2.990736, -98.147446, 1.852559, 722.747437 
-11.738987, -9.614250, -97.089180, 2.910816, 797.051025 
44.867447, -4.667920, -97.929794, 2.070195, 1034.025879 
-22.279078, -3.230477, -98.037018, 1.962991, 726.456604 
-25.033052, -7.580997, -97.114349, 2.885651, 800.991699 
7.178770, -1.941886, -97.053284, 2.946716, 1119.209473 
38.084099, -4.015807, -98.448975, 1.551028, 690.152039 
43.580498, -5.384106, -98.094193, 1.905805, 810.365051 
7.389906, -6.368030, -97.561829, 2.438172, 954.152527 
13.745789, -5.037131, -98.328537, 1.671465, 834.693481 
-24.472366, 0.181896, -97.327248, 2.672747, 929.547668 
5.663901, 0.284565, -97.409470, 2.590530, 1092.462524 
-10.123815, -1.794370, -97.372513, 2.627491, 833.021179 
26.768620, 0.797616, -98.337265, 1.662736, 966.290466 
-7.157494, 2.089020, -98.553909, 1.446093, 826.555237 
-1.591215, 1.440486, -97.219429, 2.780565, 1309.713623 
40.030346, 4.100758, -98.156998, 1.843003, 1225.365723 
36.683434, -10.124745, -98.188927, 1.811066, 863.357056 
-12.069000, -4.443394, -97.425621, 2.574377, 1178.896484 
-1.432971, -3.244478, -97.687935, 2.312060, 2360.092285 
-19.495075, -4.610487, -98.014801, 1.985199, 789.553955 
-9.579161, -9.798697, -97.802773, 2.197224, 1066.400879 
6.202305, -1.431267, -98.318298, 1.681703, 714.607849 
-14.581590, -21.820679, 49.446625, 2.795186, 21068.236328 
31.945129, -2.928879, -97.760818, 2.239187, 779.615417 
5.874537, -0.912081, -98.263947, 1.736049, 691.881775 
22.189919, -9.963832, -97.515915, 2.484092, 858.658020 
46.574142, 1.990557, -97.394012, 2.605995, 1283.338989 
-9.664772, -6.460795, -97.479042, 2.520955, 1381.383179 
36.784744, -4.887491, -97.872223, 2.127784, 1038.833984 
19.160099, -3.806010, -97.799255, 2.200752, 834.235840 
5.387234, -4.227624, -98.300072, 1.699923, 884.042542 
-14.288143, -9.002682, -97.965485, 2.034517, 1627.209473 
51.231434, -15.461055, -97.686050, 2.313951, 1035.139160 
34.610008, -5.969839, -97.854652, 2.145351, 1320.384033 
39.324982, -4.637648, -98.424637, 1.575361, 677.612915 
-42.105412, -8.266080, -97.130089, 2.869913, 1126.067627 
21.759415, -1.502359, -97.500916, 2.499086, 799.280518 
45.331856, 0.732283, -97.938354, 2.061637, 857.694336 
-10.798450, -11.013704, -97.160240, 2.839754, 822.092407 
-11.988914, -3.230767, -97.830383, 2.169613, 837.004211 
30.570154, -6.382917, -98.537300, 1.462704, 700.688538 
29.484543, 1.324980, -97.926483, 2.073521, 937.609131 
29.230919, -6.297020, -98.160080, 1.839925, 1324.216919 
39.169647, -1.296016, -98.547478, 1.452522, 822.361389 
34.793343, -9.719063, -98.254196, 1.745811, 717.754639 
3.372446, -5.319457, -98.531967, 1.468041, 710.572266 
29.880278, -8.919518, -98.418037, 1.581962, 717.793213 
40.362602, -5.667045, -97.525414, 2.474591, 848.221069 
38.930515, -8.312513, -97.955208, 2.044791, 703.042175 
-11.896188, 3.743392, -97.410957, 2.589045, 898.085388 
-17.801256, -6.726573, -98.493210, 1.506794, 973.437317 
-26.612305, -6.843923, -97.465683, 2.534317, 763.996521 
49.968346, 1.147835, -98.010185, 1.989815, 861.454407 
27.882193, 4.836073, -97.121933, 2.878068, 1727.622559 
-2.643428, -4.760827, -98.168747, 1.831260, 1143.141602 
31.236687, -6.125159, -98.086311, 1.913691, 1027.532471 
-0.933359, 5.275774, -97.586044, 2.413958, 1010.532410 
-7.865942, -2.766464, -97.075249, 2.924752, 1938.954834 
-24.814194, -2.616066, -97.090065, 2.909936, 1605.203247 
-34.367905, -7.998680, -98.236687, 1.763311, 1300.833862 
-7.426189, -10.035758, -97.628784, 2.371217, 1075.648682 
-26.255091, -3.282312, -97.059860, 2.940133, 1149.503296 
-4.874337, -4.640421, -98.424187, 1.575806, 922.603699 
-21.922419, 0.352830, -98.537323, 1.462680, 1062.640137 
45.225010, -2.869464, -97.322647, 2.677356, 840.961670 
-39.989784, 0.668293, -97.225540, 2.774457, 4066.104736 
-21.427877, 0.422261, -97.944344, 2.055658, 740.188049 
-30.574123, -10.315082, -97.201454, 2.798550, 1295.630249 
-33.935265, -5.552154, -97.794128, 2.205874, 785.185730 
-6.907373, -9.764492, -97.917358, 2.082636, 834.120056 
41.098358, -9.310625, -97.820900, 2.179097, 872.997192 
37.615639, 0.344389, -97.915703, 2.084295, 940.905518 
34.676620, -5.092155, -97.838234, 2.161769, 875.968140 
38.610516, 0.242990, -97.634186, 2.365817, 934.442810 
26.018572, -1.550116, -97.179512, 2.820483, 762.880371 
-20.131184, 1.270050, -97.887375, 2.112628, 1109.081543 
35.391788, 3.522415, -97.577904, 2.422096, 933.810486 
33.513840, -5.076893, -97.452568, 2.547433, 1852.847900 
7.868209, -1.570631, -98.069557, 1.930452, 688.444336 
37.987942, 5.618502, -98.234558, 1.765445, 820.466553 
-13.590495, -2.883263, -97.910873, 2.089127, 1005.267334 
-15.621514, -0.987239, -98.248444, 1.751553, 1064.455200 
-30.739586, -6.096723, -97.993950, 2.006048, 767.047668 
-31.568645, -5.595036, -97.420135, 2.579863, 1757.866455 
-17.807552, -4.953763, -98.326111, 1.673892, 884.635620 
-23.361004, -6.007234, -97.970901, 2.029105, 735.089844 
-32.340569, -3.718539, -97.279419, 2.720577, 1355.183472 
-18.134520, -5.949106, -97.000504, 2.999496, 1596.324829 
17.584332, 1.452324, -98.399582, 1.600419, 815.742615 
-21.297895, 0.793854, -97.791168, 2.208833, 1287.370361 
-32.196331, -4.531809, -97.833313, 2.166683, 755.915344 
-16.379942, -4.376482, -97.101952, 2.898046, 1077.716797 
4.104486, -5.216688, -97.910088, 2.089918, 712.307312 
35.923950, -9.419377, -97.578949, 2.421058, 941.687195 
-21.607277, 2.863472, -97.086899, 2.913106, 1322.566895 
25.744038, -7.507794, -97.443710, 2.556291, 837.575256 
33.518440, -3.343318, -98.252518, 1.747475, 1404.255615 
7.944637, -0.799525, -97.266441, 2.733556, 900.637573 
-20.496370, -5.891833, -97.878258, 2.121737, 911.643677 
-45.977577, -25.837177, 69.106819, 2.833213, 21087.482422 
-32.535160, -5.244600, -97.296700, 2.703299, 1138.402832 
16.804585, -8.218129, -98.531616, 1.468375, 808.877258 
-20.464485, 3.567796, -97.856834, 2.143163, 1099.988647 
26.144701, 1.499599, -97.650009, 2.349998, 794.051819 
-20.879810, -5.620226, -97.800453, 2.199546, 853.973816 
41.868828, -5.602471, -98.210014, 1.789981, 857.313110 
10.776196, -4.816252, -97.143486, 2.856511, 876.532166 
46.216671, -7.237001, -97.385323, 2.614669, 846.034241 
42.098145, 5.685540, -97.822250, 2.177747, 845.718140 
-11.973179, 2.902588, -97.088135, 2.911868, 1394.307617 
50.567329, -8.643462, -97.684814, 2.315181, 860.962830 
-27.131821, 12.454212, -97.672211, 2.327793, 1868.089233 
32.083927, -7.877473, -97.093315, 2.906688, 937.838867 
-33.139633, -1.129898, -97.979652, 2.020349, 1257.721436 
37.811085, 1.373910, -97.061798, 2.938204, 886.321167 
36.892975, -8.974239, -97.917450, 2.082549, 836.167358 
26.581703, 4.550045, -98.054359, 1.945635, 1130.070923 
-33.854046, -2.090353, -97.122749, 2.877245, 1333.386597 
-13.512096, 1.296246, -97.985840, 2.014163, 983.901428 
-26.293842, -8.451934, -98.404411, 1.595590, 696.542419 
-3.519508, -1.022287, -97.501839, 2.498164, 1378.815918 
41.439754, -10.861938, -98.208321, 1.791672, 831.085388 
30.624603, 1.625461, -98.516762, 1.483232, 1179.878540 
-40.942287, -7.383786, -97.320480, 2.679518, 2318.529053 
-21.824312, 1.791187, -97.058868, 2.941128, 1129.953857 
-39.758080, -8.911567, -97.340210, 2.659790, 781.088013 
-16.494331, -0.476890, -97.576546, 2.423455, 889.554016 
-22.842999, -4.739510, -97.192261, 2.807740, 946.299438 
4.496581, 1.879465, -98.423943, 1.576051, 807.052673 
6.281589, -4.806728, -97.946655, 2.053337, 883.041870 
-21.198723, -5.313578, -97.224144, 2.775857, 1413.486084 
21.986813, 1.024589, -97.289078, 2.710918, 977.264648 
-33.415558, -6.214584, -97.127563, 2.872442, 2268.032715 
-16.860519, -0.601645, -97.530899, 2.469095, 1494.200806 
-41.240089, -7.308767, -97.079208, 2.920792, 1183.238159 
-14.333173, 8.625295, -97.762329, 2.237680, 905.024292 
-5.036220, -0.403215, -97.934418, 2.065584, 824.099304 
38.190414, -4.471740, -98.329002, 1.670999, 869.056580 
40.664619, 3.240406, -97.536392, 2.463608, 975.878052 
15.938452, 2.607833, -97.035873, 2.964127, 1473.904907 
6.112667, -5.267397, -101.666443, 2.808156, 1278.500000 
-26.532890, 2.244325, -97.653313, 2.346691, 1467.907471 
-31.706921, -7.470726, -97.581467, 2.418545, 809.738403 
16.585930, -4.317310, -97.260742, 2.739245, 1083.233887 
-15.865710, -4.291653, -97.605171, 2.394834, 1051.834473 
-23.382774, -2.670366, -97.345879, 2.654119, 924.692627 
24.695034, 1.388505, -97.222855, 2.777147, 964.725952 
24.876495, -1.903702, -98.099159, 1.900838, 1326.499634 
-39.785675, -8.593191, -97.566589, 2.433409, 807.277283 
-19.888649, -7.886675, -98.026672, 1.973317, 873.264954 
40.100372, 1.991613, -97.867744, 2.132257, 1495.852173 
21.334572, -8.951560, -97.843452, 2.156543, 853.761597 
2.807264, 0.076713, -98.374374, 1.625624, 722.876221 
25.451729, -3.490182, -98.318710, 1.681291, 1010.548340 
1.875916, -8.074409, -98.532028, 1.467963, 858.145325 
0.960637, -7.999771, -98.173904, 1.826096, 897.487427 
-18.644394, 0.942143, -97.555649, 2.444346, 899.264832 
-34.630638, -7.043898, -97.122887, 2.877119, 1696.575317 
-42.047638, -7.865533, -98.085579, 1.914421, 2137.246338 
12.046386, -9.761760, -98.406525, 1.593474, 711.785156 
4.432207, -4.904076, -97.319885, 2.680120, 1694.173462 
-33.408260, -0.381366, -97.159210, 2.840790, 1495.432129 
24.233767, -7.673737, -97.076714, 2.923287, 1033.516479 
40.493168, -5.426648, -97.394348, 2.605646, 828.035583 
55.658901, 11.401570, -97.736870, 2.263131, 841.000427 
36.788963, -5.861904, -97.825089, 2.174909, 1056.753174 
-5.453722, -0.944716, -97.247757, 2.752248, 1576.881470 
-9.763305, -7.669991, -97.241470, 2.758533, 858.025940 
2.625633, -10.442122, -98.446236, 1.553770, 756.023499 
19.800497, -2.490302, -98.444206, 1.555793, 1116.466919 
33.089455, 3.932683, -98.019707, 1.980294, 1129.482056 
