x, y, z, size 
102.785957, 157.166779, 238.401169, 1.626071, 446.721344 
-15.745329, 7.068604, 286.248230, 1.031570, 453.649353 
-34.072910, -113.401985, 248.041061, 1.846242, 446.635712 
-30.923630, 2.205811, 184.086792, 1.229608, 431.793579 
113.488533, 111.050911, 392.670868, 1.765593, 542.191895 
-54.623466, -12.744864, 396.719788, 1.891064, 393.445648 
-58.634781, 146.547653, 342.875488, 1.285689, 671.968750 
-131.709457, 75.875893, 419.919495, 1.307278, 700.786255 
-92.766243, -53.030113, 314.900024, 1.333287, 445.200012 
-20.319841, 29.471857, 258.033264, 1.701973, 450.325317 
78.563385, 44.264816, 200.189362, 1.890894, 446.037354 
36.355362, 155.945343, 405.414917, 1.062541, 503.993622 
-56.894730, -104.164688, 346.722992, 1.524568, 446.198639 
39.115044, -110.644272, 401.781433, 1.631112, 776.441589 
46.084026, 4.578945, 116.253372, 1.665319, 375.770355 
-86.726578, -119.438034, 348.195129, 0.962120, 609.670288 
130.473419, -40.867126, 343.467407, 1.604078, 435.810150 
-47.377831, 111.550453, 322.194214, 1.791903, 452.800018 
95.593254, -133.843277, 246.568787, 1.165935, 451.109802 
-77.298210, 3.057419, 433.538269, 1.364625, 726.173706 
20.017704, 38.477264, 212.321808, 1.485783, 547.557556 
-11.249208, -6.044886, 347.580261, 1.592959, 390.542938 
34.450954, 43.972198, 260.912903, 1.366771, 390.538757 
-12.215101, 161.807861, 335.339783, 1.946858, 444.170471 
-131.668335, -64.664940, 330.128479, 1.311619, 682.249817 
-18.613279, 43.976479, 132.629013, 1.235249, 454.819489 
62.309204, 136.550720, 393.287537, 1.314583, 687.059021 
-58.417595, 90.365341, 194.126923, 0.989668, 368.029877 
-41.510052, 80.569603, 250.858841, 1.121683, 550.844849 
125.355179, 156.716721, 430.554688, 1.533334, 639.945007 
-121.636597, -10.518921, 416.548096, 1.467836, 383.163452 
-89.480385, 144.716324, 296.212250, 1.904331, 433.399994 
7.917022, -13.912422, 199.465607, 1.063757, 447.704010 
-8.250642, 6.927512, 214.512238, 1.253214, 460.519531 
-119.152885, -54.950512, 417.808655, 1.273109, 654.450317 
-41.827099, 29.060822, 326.527435, 1.734879, 448.938934 
-100.684410, -7.183032, 328.155426, 1.392099, 536.102417 
-19.341665, -5.582060, 244.419052, 1.266382, 440.437805 
-94.044983, 4.959005, 343.566040, 1.350348, 602.871277 
-63.881065, 102.257156, 382.041016, 1.394722, 433.824524 
-51.165436, -122.454643, 313.456024, 1.687846, 385.681061 
63.087791, 131.448547, 335.871063, 1.555111, 597.031372 
-17.942743, -1.704588, 169.125565, 1.190328, 449.085632 
27.400944, 88.019745, 361.619690, 1.744553, 548.057739 
